,State,County,Percent GOP
1,AK,Alaska,0.549574788
3,AL,Autauga,0.726337362
4,AL,Baldwin,0.773897491
5,AL,Barbour,0.483375513
6,AL,Bibb,0.730663806
7,AL,Blount,0.864929108
8,AL,Bullock,0.235050771
9,AL,Butler,0.535800907
10,AL,Calhoun,0.65467128
11,AL,Chambers,0.521631644
12,AL,Cherokee,0.767749206
13,AL,Chilton,0.797866238
14,AL,Choctaw,0.521029504
15,AL,Clarke,0.539741086
16,AL,Clay,0.723192771
17,AL,Cleburne,0.836083783
18,AL,Coffee,0.742480345
19,AL,Colbert,0.596004107
20,AL,Conecuh,0.489662056
21,AL,Coosa,0.577531947
22,AL,Covington,0.788063574
23,AL,Crenshaw,0.674777726
24,AL,Cullman,0.841822895
25,AL,Dale,0.70643092
26,AL,Dallas,0.300152847
27,AL,DeKalb,0.768224142
28,AL,Elmore,0.739926637
29,AL,Escambia,0.624528047
30,AL,Etowah,0.684914097
31,AL,Fayette,0.762639029
32,AL,Franklin,0.69684133
33,AL,Geneva,0.810478883
34,AL,Greene,0.149962462
35,AL,Hale,0.371464998
36,AL,Henry,0.644252874
37,AL,Houston,0.698181297
38,AL,Jackson,0.701629774
39,AL,Jefferson,0.466057398
40,AL,Lamar,0.761698561
41,AL,Lauderdale,0.647610274
42,AL,Lawrence,0.62895092
43,AL,Lee,0.59247898
44,AL,Limestone,0.713523132
45,AL,Lowndes,0.233275702
46,AL,Macon,0.127298989
47,AL,Madison,0.586418076
48,AL,Marengo,0.462333826
49,AL,Marion,0.801057502
50,AL,Marshall,0.794484671
51,AL,Mobile,0.542893064
52,AL,Monroe,0.536516854
53,AL,Montgomery,0.376131105
54,AL,Morgan,0.717691776
55,AL,Perry,0.247980214
56,AL,Pickens,0.533284717
57,AL,Pike,0.564772
58,AL,Randolph,0.694735829
59,AL,Russell,0.438556515
60,AL,St. Clair,0.826121635
61,AL,Shelby,0.772667129
62,AL,Sumter,0.225622776
63,AL,Talladega,0.576792628
64,AL,Tallapoosa,0.659042211
65,AL,Tuscaloosa,0.582240907
66,AL,Walker,0.75913254
67,AL,Washington,0.65620363
68,AL,Wilcox,0.255995112
69,AL,Winston,0.855642504
71,AR,Arkansas,0.599876695
72,AR,Ashley,0.614782059
73,AR,Baxter,0.707792544
74,AR,Benton,0.689803289
75,AR,Boone,0.725314066
76,AR,Bradley,0.582828839
77,AR,Calhoun,0.670653174
78,AR,Carroll,0.601749902
79,AR,Chicot,0.382939693
80,AR,Clark,0.51665477
81,AR,Clay,0.63111546
82,AR,Cleburne,0.746457099
83,AR,Cleveland,0.708205756
84,AR,Columbia,0.612374405
85,AR,Conway,0.584023822
86,AR,Craighead,0.642291794
87,AR,Crawford,0.735580196
88,AR,Crittenden,0.399149101
89,AR,Cross,0.638922156
90,AR,Dallas,0.539734025
91,AR,Desha,0.426179245
92,AR,Drew,0.586024751
93,AR,Faulkner,0.645007502
94,AR,Franklin,0.708212265
95,AR,Fulton,0.652145069
96,AR,Garland,0.637878749
97,AR,Grant,0.745446125
98,AR,Greene,0.659153701
99,AR,Hempstead,0.619164619
100,AR,Hot Spring,0.630572115
101,AR,Howard,0.647657841
102,AR,Independence,0.704116223
103,AR,Izard,0.672124976
104,AR,Jackson,0.574185088
105,AR,Jefferson,0.347719632
106,AR,Johnson,0.62562004
107,AR,Lafayette,0.584699454
108,AR,Lawrence,0.638432364
109,AR,Lee,0.373831776
110,AR,Lincoln,0.59033557
111,AR,Little River,0.670164324
112,AR,Logan,0.692769441
113,AR,Lonoke,0.741726529
114,AR,Madison,0.649002589
115,AR,Marion,0.678759425
116,AR,Miller,0.69293496
117,AR,Mississippi,0.494344146
118,AR,Monroe,0.490712074
119,AR,Montgomery,0.695856597
120,AR,Nevada,0.589834515
121,AR,Newton,0.685058727
122,AR,Ouachita,0.535378045
123,AR,Perry,0.655321311
124,AR,Phillips,0.327974684
125,AR,Pike,0.751782414
126,AR,Poinsett,0.657880795
127,AR,Polk,0.770625567
128,AR,Pope,0.722560078
129,AR,Prairie,0.685705169
130,AR,Pulaski,0.432906856
131,AR,Randolph,0.621889711
132,AR,Saint Francis,0.409799277
133,AR,Saline,0.700439873
134,AR,Scott,0.723123453
135,AR,Searcy,0.730644288
136,AR,Sebastian,0.672773419
137,AR,Sevier,0.72435305
138,AR,Sharp,0.675638561
139,AR,Stone,0.70510185
140,AR,Union,0.623310023
141,AR,Van Buren,0.679333437
142,AR,Washington,0.563426407
143,AR,White,0.754677833
144,AR,Woodruff,0.45698324
145,AR,Yell,0.67677106
147,AZ,Apache,0.321932064
148,AZ,Cochise,0.610882675
149,AZ,Coconino,0.41432422
150,AZ,Gila,0.623748444
151,AZ,Graham,0.681289016
152,AZ,Greenlee,0.534993271
153,AZ,La Paz,0.651158066
154,AZ,Maricopa,0.551668565
155,AZ,Mohave,0.70421083
156,AZ,Navajo,0.535429769
157,AZ,Pima,0.463101556
158,AZ,Pinal,0.57712529
159,AZ,Santa Cruz,0.304807831
160,AZ,Yavapai,0.644539725
161,AZ,Yuma,0.574627965
163,CA,Alameda,0.186842077
164,CA,Alpine,0.364760433
165,CA,Amador,0.58178135
166,CA,Butte,0.503285207
167,CA,Calaveras,0.57052358
