Geography,Total; Estimate; Total population,Total; Margin of Error; Total population,Male; Estimate; Total population,Male; Margin of Error; Total population,Female; Estimate; Total population,Female; Margin of Error; Total population,Total; Estimate; AGE - Under 5 years,Total; Margin of Error; AGE - Under 5 years,Male; Estimate; AGE - Under 5 years,Male; Margin of Error; AGE - Under 5 years,Female; Estimate; AGE - Under 5 years,Female; Margin of Error; AGE - Under 5 years,Total; Estimate; AGE - 5 to 9 years,Total; Margin of Error; AGE - 5 to 9 years,Male; Estimate; AGE - 5 to 9 years,Male; Margin of Error; AGE - 5 to 9 years,Female; Estimate; AGE - 5 to 9 years,Female; Margin of Error; AGE - 5 to 9 years,Total; Estimate; AGE - 10 to 14 years,Total; Margin of Error; AGE - 10 to 14 years,Male; Estimate; AGE - 10 to 14 years,Male; Margin of Error; AGE - 10 to 14 years,Female; Estimate; AGE - 10 to 14 years,Female; Margin of Error; AGE - 10 to 14 years,Total; Estimate; AGE - 15 to 19 years,Total; Margin of Error; AGE - 15 to 19 years,Male; Estimate; AGE - 15 to 19 years,Male; Margin of Error; AGE - 15 to 19 years,Female; Estimate; AGE - 15 to 19 years,Female; Margin of Error; AGE - 15 to 19 years,Total; Estimate; AGE - 20 to 24 years,Total; Margin of Error; AGE - 20 to 24 years,Male; Estimate; AGE - 20 to 24 years,Male; Margin of Error; AGE - 20 to 24 years,Female; Estimate; AGE - 20 to 24 years,Female; Margin of Error; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Margin of Error; AGE - 25 to 29 years,Male; Estimate; AGE - 25 to 29 years,Male; Margin of Error; AGE - 25 to 29 years,Female; Estimate; AGE - 25 to 29 years,Female; Margin of Error; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Margin of Error; AGE - 30 to 34 years,Male; Estimate; AGE - 30 to 34 years,Male; Margin of Error; AGE - 30 to 34 years,Female; Estimate; AGE - 30 to 34 years,Female; Margin of Error; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 39 years,Total; Margin of Error; AGE - 35 to 39 years,Male; Estimate; AGE - 35 to 39 years,Male; Margin of Error; AGE - 35 to 39 years,Female; Estimate; AGE - 35 to 39 years,Female; Margin of Error; AGE - 35 to 39 years,Total; Estimate; AGE - 40 to 44 years,Total; Margin of Error; AGE - 40 to 44 years,Male; Estimate; AGE - 40 to 44 years,Male; Margin of Error; AGE - 40 to 44 years,Female; Estimate; AGE - 40 to 44 years,Female; Margin of Error; AGE - 40 to 44 years,Total; Estimate; AGE - 45 to 49 years,Total; Margin of Error; AGE - 45 to 49 years,Male; Estimate; AGE - 45 to 49 years,Male; Margin of Error; AGE - 45 to 49 years,Female; Estimate; AGE - 45 to 49 years,Female; Margin of Error; AGE - 45 to 49 years,Total; Estimate; AGE - 50 to 54 years,Total; Margin of Error; AGE - 50 to 54 years,Male; Estimate; AGE - 50 to 54 years,Male; Margin of Error; AGE - 50 to 54 years,Female; Estimate; AGE - 50 to 54 years,Female; Margin of Error; AGE - 50 to 54 years,Total; Estimate; AGE - 55 to 59 years,Total; Margin of Error; AGE - 55 to 59 years,Male; Estimate; AGE - 55 to 59 years,Male; Margin of Error; AGE - 55 to 59 years,Female; Estimate; AGE - 55 to 59 years,Female; Margin of Error; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Total; Margin of Error; AGE - 60 to 64 years,Male; Estimate; AGE - 60 to 64 years,Male; Margin of Error; AGE - 60 to 64 years,Female; Estimate; AGE - 60 to 64 years,Female; Margin of Error; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 69 years,Total; Margin of Error; AGE - 65 to 69 years,Male; Estimate; AGE - 65 to 69 years,Male; Margin of Error; AGE - 65 to 69 years,Female; Estimate; AGE - 65 to 69 years,Female; Margin of Error; AGE - 65 to 69 years,Total; Estimate; AGE - 70 to 74 years,Total; Margin of Error; AGE - 70 to 74 years,Male; Estimate; AGE - 70 to 74 years,Male; Margin of Error; AGE - 70 to 74 years,Female; Estimate; AGE - 70 to 74 years,Female; Margin of Error; AGE - 70 to 74 years,Total; Estimate; AGE - 75 to 79 years,Total; Margin of Error; AGE - 75 to 79 years,Male; Estimate; AGE - 75 to 79 years,Male; Margin of Error; AGE - 75 to 79 years,Female; Estimate; AGE - 75 to 79 years,Female; Margin of Error; AGE - 75 to 79 years,Total; Estimate; AGE - 80 to 84 years,Total; Margin of Error; AGE - 80 to 84 years,Male; Estimate; AGE - 80 to 84 years,Male; Margin of Error; AGE - 80 to 84 years,Female; Estimate; AGE - 80 to 84 years,Female; Margin of Error; AGE - 80 to 84 years,Total; Estimate; AGE - 85 years and over,Total; Margin of Error; AGE - 85 years and over,Male; Estimate; AGE - 85 years and over,Male; Margin of Error; AGE - 85 years and over,Female; Estimate; AGE - 85 years and over,Female; Margin of Error; AGE - 85 years and over,Total; Estimate; SELECTED AGE CATEGORIES - 5 to 14 years,Total; Margin of Error; SELECTED AGE CATEGORIES - 5 to 14 years,Male; Estimate; SELECTED AGE CATEGORIES - 5 to 14 years,Male; Margin of Error; SELECTED AGE CATEGORIES - 5 to 14 years,Female; Estimate; SELECTED AGE CATEGORIES - 5 to 14 years,Female; Margin of Error; SELECTED AGE CATEGORIES - 5 to 14 years,Total; Estimate; SELECTED AGE CATEGORIES - 15 to 17 years,Total; Margin of Error; SELECTED AGE CATEGORIES - 15 to 17 years,Male; Estimate; SELECTED AGE CATEGORIES - 15 to 17 years,Male; Margin of Error; SELECTED AGE CATEGORIES - 15 to 17 years,Female; Estimate; SELECTED AGE CATEGORIES - 15 to 17 years,Female; Margin of Error; SELECTED AGE CATEGORIES - 15 to 17 years,Total; Estimate; SELECTED AGE CATEGORIES - 18 to 24 years,Total; Margin of Error; SELECTED AGE CATEGORIES - 18 to 24 years,Male; Estimate; SELECTED AGE CATEGORIES - 18 to 24 years,Male; Margin of Error; SELECTED AGE CATEGORIES - 18 to 24 years,Female; Estimate; SELECTED AGE CATEGORIES - 18 to 24 years,Female; Margin of Error; SELECTED AGE CATEGORIES - 18 to 24 years,Total; Estimate; SELECTED AGE CATEGORIES - 15 to 44 years,Total; Margin of Error; SELECTED AGE CATEGORIES - 15 to 44 years,Male; Estimate; SELECTED AGE CATEGORIES - 15 to 44 years,Male; Margin of Error; SELECTED AGE CATEGORIES - 15 to 44 years,Female; Estimate; SELECTED AGE CATEGORIES - 15 to 44 years,Female; Margin of Error; SELECTED AGE CATEGORIES - 15 to 44 years,Total; Estimate; SELECTED AGE CATEGORIES - 16 years and over,Total; Margin of Error; SELECTED AGE CATEGORIES - 16 years and over,Male; Estimate; SELECTED AGE CATEGORIES - 16 years and over,Male; Margin of Error; SELECTED AGE CATEGORIES - 16 years and over,Female; Estimate; SELECTED AGE CATEGORIES - 16 years and over,Female; Margin of Error; SELECTED AGE CATEGORIES - 16 years and over,Total; Estimate; SELECTED AGE CATEGORIES - 18 years and over,Total; Margin of Error; SELECTED AGE CATEGORIES - 18 years and over,Male; Estimate; SELECTED AGE CATEGORIES - 18 years and over,Male; Margin of Error; SELECTED AGE CATEGORIES - 18 years and over,Female; Estimate; SELECTED AGE CATEGORIES - 18 years and over,Female; Margin of Error; SELECTED AGE CATEGORIES - 18 years and over,Total; Estimate; SELECTED AGE CATEGORIES - 60 years and over,Total; Margin of Error; SELECTED AGE CATEGORIES - 60 years and over,Male; Estimate; SELECTED AGE CATEGORIES - 60 years and over,Male; Margin of Error; SELECTED AGE CATEGORIES - 60 years and over,Female; Estimate; SELECTED AGE CATEGORIES - 60 years and over,Female; Margin of Error; SELECTED AGE CATEGORIES - 60 years and over,Total; Estimate; SELECTED AGE CATEGORIES - 62 years and over,Total; Margin of Error; SELECTED AGE CATEGORIES - 62 years and over,Male; Estimate; SELECTED AGE CATEGORIES - 62 years and over,Male; Margin of Error; SELECTED AGE CATEGORIES - 62 years and over,Female; Estimate; SELECTED AGE CATEGORIES - 62 years and over,Female; Margin of Error; SELECTED AGE CATEGORIES - 62 years and over,Total; Estimate; SELECTED AGE CATEGORIES - 65 years and over,Total; Margin of Error; SELECTED AGE CATEGORIES - 65 years and over,Male; Estimate; SELECTED AGE CATEGORIES - 65 years and over,Male; Margin of Error; SELECTED AGE CATEGORIES - 65 years and over,Female; Estimate; SELECTED AGE CATEGORIES - 65 years and over,Female; Margin of Error; SELECTED AGE CATEGORIES - 65 years and over,Total; Estimate; SELECTED AGE CATEGORIES - 75 years and over,Total; Margin of Error; SELECTED AGE CATEGORIES - 75 years and over,Male; Estimate; SELECTED AGE CATEGORIES - 75 years and over,Male; Margin of Error; SELECTED AGE CATEGORIES - 75 years and over,Female; Estimate; SELECTED AGE CATEGORIES - 75 years and over,Female; Margin of Error; SELECTED AGE CATEGORIES - 75 years and over,Total; Estimate; SUMMARY INDICATORS - Median age (years),Total; Margin of Error; SUMMARY INDICATORS - Median age (years),Male; Estimate; SUMMARY INDICATORS - Median age (years),Male; Margin of Error; SUMMARY INDICATORS - Median age (years),Female; Estimate; SUMMARY INDICATORS - Median age (years),Female; Margin of Error; SUMMARY INDICATORS - Median age (years),Total; Estimate; SUMMARY INDICATORS - Sex ratio (males per 100 females),Total; Margin of Error; SUMMARY INDICATORS - Sex ratio (males per 100 females),Male; Estimate; SUMMARY INDICATORS - Sex ratio (males per 100 females),Male; Margin of Error; SUMMARY INDICATORS - Sex ratio (males per 100 females),Female; Estimate; SUMMARY INDICATORS - Sex ratio (males per 100 females),Female; Margin of Error; SUMMARY INDICATORS - Sex ratio (males per 100 females),Total; Estimate; SUMMARY INDICATORS - Age dependency ratio,Total; Margin of Error; SUMMARY INDICATORS - Age dependency ratio,Male; Estimate; SUMMARY INDICATORS - Age dependency ratio,Male; Margin of Error; SUMMARY INDICATORS - Age dependency ratio,Female; Estimate; SUMMARY INDICATORS - Age dependency ratio,Female; Margin of Error; SUMMARY INDICATORS - Age dependency ratio,Total; Estimate; SUMMARY INDICATORS - Age dependency ratio - Old-age dependency ratio,Total; Margin of Error; SUMMARY INDICATORS - Age dependency ratio - Old-age dependency ratio,Male; Estimate; SUMMARY INDICATORS - Age dependency ratio - Old-age dependency ratio,Male; Margin of Error; SUMMARY INDICATORS - Age dependency ratio - Old-age dependency ratio,Female; Estimate; SUMMARY INDICATORS - Age dependency ratio - Old-age dependency ratio,Female; Margin of Error; SUMMARY INDICATORS - Age dependency ratio - Old-age dependency ratio,Total; Estimate; SUMMARY INDICATORS - Age dependency ratio - Child dependency ratio,Total; Margin of Error; SUMMARY INDICATORS - Age dependency ratio - Child dependency ratio,Male; Estimate; SUMMARY INDICATORS - Age dependency ratio - Child dependency ratio,Male; Margin of Error; SUMMARY INDICATORS - Age dependency ratio - Child dependency ratio,Female; Estimate; SUMMARY INDICATORS - Age dependency ratio - Child dependency ratio,Female; Margin of Error; SUMMARY INDICATORS - Age dependency ratio - Child dependency ratio,Total; Estimate; PERCENT IMPUTED - Sex,Total; Margin of Error; PERCENT IMPUTED - Sex,Male; Estimate; PERCENT IMPUTED - Sex,Male; Margin of Error; PERCENT IMPUTED - Sex,Female; Estimate; PERCENT IMPUTED - Sex,Female; Margin of Error; PERCENT IMPUTED - Sex,Total; Estimate; PERCENT IMPUTED - Age,Total; Margin of Error; PERCENT IMPUTED - Age,Male; Estimate; PERCENT IMPUTED - Age,Male; Margin of Error; PERCENT IMPUTED - Age,Female; Estimate; PERCENT IMPUTED - Age,Female; Margin of Error; PERCENT IMPUTED - Age
"Autauga County, Alabama",54590,*****,26538,160,28052,160,6.5,0.2,7,0.4,6,0.2,7.4,0.7,7.7,0.9,7.1,0.9,7.9,0.6,8,0.9,7.9,0.8,8.3,0.4,8.8,0.5,7.8,0.4,5.6,0.2,5.7,0.5,5.4,0.2,5.8,0.2,5.8,0.2,5.8,0.3,6,0.1,5.9,0.2,6.2,0.2,6.8,0.6,6.9,0.9,6.7,0.7,7.9,0.6,7.7,0.9,8.2,0.7,7.7,0.2,7.9,0.3,7.5,0.2,7.1,0.2,7.2,0.3,7.1,0.2,5.5,0.6,5.6,0.7,5.4,0.7,5.2,0.6,5.3,0.7,5.2,0.7,4.5,0.4,3.7,0.5,5.3,0.6,3.2,0.4,3.3,0.5,3.1,0.6,2.1,0.3,1.6,0.4,2.5,0.4,1.3,0.2,1.3,0.3,1.2,0.3,1.2,0.3,0.7,0.3,1.7,0.4,15.3,0.2,15.6,0.3,15,0.4,5,0.2,5.2,0.2,4.9,0.3,8.8,0.2,9.3,0.4,8.3,0.3,40.4,0.3,40.8,0.5,40,0.4,76.6,0.3,75.3,0.5,77.8,0.6,73.2,*****,72.2,0.4,74.2,0.4,17.5,0.6,15.9,0.7,19,0.8,15.1,0.5,13.4,0.6,16.7,0.7,12.3,0.2,10.6,0.1,13.8,0.3,4.6,0.1,3.6,0.1,5.5,0.1,37,0.4,36.2,0.4,38,0.6,94.6,1.1,(X),(X),(X),(X),64.1,0.4,(X),(X),(X),(X),20.1,0.3,(X),(X),(X),(X),44,0.1,(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X),0.5,(X),(X),(X),(X),(X)
"Baldwin County, Alabama",183226,*****,89270,295,93956,295,6.1,0.1,6.2,0.3,6,0.3,6.4,0.4,6.8,0.5,6.1,0.6,6.5,0.4,6.6,0.5,6.4,0.6,6.2,0.1,6.6,0.2,5.9,0.1,5.3,0.1,5.6,0.2,4.9,0.1,5.7,0.1,5.9,0.1,5.6,0.1,5.8,0.1,5.9,0.1,5.8,0.1,6,0.4,6.3,0.5,5.7,0.5,6.9,0.4,6.6,0.5,7.2,0.4,7.3,0.1,7.3,0.1,7.3,0.1,7.3,0.1,7.1,0.1,7.4,0.1,6.7,0.4,6.4,0.5,7,0.5,6.8,0.3,6.6,0.5,6.9,0.4,5.7,0.3,5.8,0.4,5.6,0.4,4.2,0.3,4,0.4,4.4,0.3,3.1,0.2,3,0.3,3.3,0.3,2.2,0.2,2,0.3,2.3,0.3,1.8,0.2,1.3,0.2,2.2,0.3,13,0.1,13.4,0.1,12.6,0.1,3.9,0.1,4.1,0.1,3.7,0.1,7.6,0.1,8.1,0.2,7.1,0.1,35.9,0.1,36.8,0.1,35,0.2,79.7,0.2,79.2,0.4,80.2,0.3,77,*****,76.3,0.2,77.7,0.2,23.7,0.4,22.8,0.5,24.6,0.5,20.9,0.4,19.7,0.5,22,0.5,16.9,0.1,16.1,0.1,17.7,0.1,7.1,0.1,6.4,0.1,7.8,0.1,41.2,0.3,40.1,0.4,42.3,0.4,95,0.6,(X),(X),(X),(X),66.5,0.3,(X),(X),(X),(X),28.2,0.2,(X),(X),(X),(X),38.3,0.1,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),0.7,(X),(X),(X),(X),(X)
"Barbour County, Alabama",27469,*****,14749,79,12720,79,5.7,0.3,5.6,0.5,5.9,0.3,6.8,1,6.1,1.3,7.5,1,5.6,0.9,5.9,1.1,5.2,1,6,0.2,5.9,0.2,6,0.4,6.9,0.3,7.8,0.3,5.7,0.6,7.3,0.3,7.9,0.3,6.6,0.7,6.8,0.3,8.2,0.5,5.1,0.3,7.8,0.7,8.5,1,7.1,1,5.2,0.7,6,1,4.3,1,7.5,0.1,7.6,0.2,7.4,0.1,6.9,0.1,6.8,0.2,7,0.1,6.6,0.6,5.3,0.8,8.2,0.8,6.3,0.6,6.5,0.8,6.1,0.8,4.9,0.6,4.4,0.6,5.6,0.7,3.4,0.5,3,0.6,3.9,0.6,2.8,0.4,2.4,0.5,3.3,0.7,1.6,0.4,1.3,0.4,1.9,0.6,1.8,0.4,0.8,0.3,3.1,0.7,12.3,0.3,12.1,0.6,12.6,0.2,3.8,0.1,3.7,0.2,3.9,0.1,9,0.3,10,0.3,7.9,0.4,39.9,0.3,44.3,0.3,34.9,0.5,80.7,0.3,81,0.5,80.2,0.5,78.1,*****,78.6,0.2,77.6,0.3,20.9,0.7,18.3,0.8,24,1,18.2,0.6,15.4,0.7,21.6,0.9,14.6,0.3,11.8,0.2,17.9,0.4,6.3,0.2,4.5,0.2,8.4,0.2,38.2,0.4,36.3,0.6,40.8,1,116,1.3,(X),(X),(X),(X),57.4,0.8,(X),(X),(X),(X),23,0.6,(X),(X),(X),(X),34.4,0.2,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1,(X),(X),(X),(X),(X)
"Bibb County, Alabama",22769,*****,12154,185,10615,185,5.8,0.6,5.9,0.8,5.6,0.8,7.3,1,6.1,1.3,8.7,1.8,6.2,0.9,6.4,1.4,6,1.3,6.4,0.8,7,1.1,5.7,1.3,6.2,0.9,6.1,1,6.3,1.5,5.9,0.5,5.8,0.8,6,0.9,6.7,0.8,7.3,1.2,6,0.9,6.7,1,6.6,1.4,6.8,1.6,7.7,1.2,9.1,2,6,1.4,9.2,0.9,10.3,1.5,8,1.1,7.1,0.8,7.6,1.3,6.6,1.1,5.4,0.9,5,1.1,5.9,1.4,6.5,0.9,6.5,1.1,6.6,1.3,3.8,0.7,3.6,0.9,4.1,1,3.6,0.6,3,0.9,4.4,0.8,2.3,0.7,1.8,0.7,2.8,1,2,0.6,1.3,0.6,2.8,1.1,1.1,0.5,0.6,0.4,1.8,0.9,13.5,0.7,12.5,1,14.7,1.3,3.9,0.5,4.5,0.9,3.2,0.1,8.6,0.8,8.5,1.3,8.8,0.9,39.5,1.1,41.9,1.8,36.8,1.2,79.7,0.8,80.5,0.8,78.7,1.6,76.8,0.5,77,1.1,76.5,1.5,19.4,0.9,16.8,1.1,22.4,1.3,16.3,0.8,12.9,0.8,20.3,1.3,12.9,0.1,10.4,0.2,15.8,0.3,5.5,0.3,3.8,0.4,7.4,0.5,39.4,0.8,39.3,1.4,39.4,0.9,114.5,3.7,(X),(X),(X),(X),56.6,1.2,(X),(X),(X),(X),20.2,0.1,(X),(X),(X),(X),36.4,1,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),4.3,(X),(X),(X),(X),(X)
"Blount County, Alabama",57466,*****,28489,130,28977,130,6.3,0.1,6.6,0.1,6,0.1,6.3,0.6,5.9,0.7,6.6,0.9,7.5,0.6,8.3,0.7,6.7,0.9,6.8,0.2,7,0.4,6.5,0.3,5.8,0.2,6,0.3,5.6,0.2,5.9,0.2,6.3,0.2,5.5,0.3,5.9,0.1,6.1,0.1,5.8,0.1,6.7,0.6,6.8,0.9,6.6,0.9,7.1,0.6,7.2,0.9,7,0.8,7.2,0.2,7.5,0.4,6.9,0.1,6.9,0.1,6.8,0.1,7,0.2,5.8,0.6,5.7,0.8,6,0.8,6.9,0.6,6.5,0.8,7.4,0.7,5.2,0.4,5,0.6,5.4,0.6,3.8,0.4,3.6,0.5,4,0.6,2.4,0.3,2.5,0.4,2.4,0.5,1.9,0.3,1.5,0.4,2.4,0.5,1.6,0.3,0.9,0.3,2.2,0.5,13.8,0.1,14.2,0.2,13.3,0.2,4.3,0.1,4.6,0.2,4,0.2,8.3,0.2,8.5,0.3,8.1,0.2,38.2,0.2,39.4,0.4,37,0.3,78.7,0.3,77.8,0.5,79.5,0.4,75.6,0.1,74.6,0.3,76.6,0.2,21.8,0.6,19.9,0.8,23.8,0.8,19.3,0.6,17.6,0.8,21,0.8,14.9,0.2,13.4,0.2,16.4,0.2,5.9,0.1,4.8,0.2,7,0.1,39.1,0.5,37.6,0.6,40.5,0.7,98.3,0.9,(X),(X),(X),(X),64.6,0.6,(X),(X),(X),(X),24.5,0.4,(X),(X),(X),(X),40.1,0.3,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),0.5,(X),(X),(X),(X),(X)
"Bullock County, Alabama",10779,*****,5996,170,4783,170,6.2,0.2,6.5,2.3,5.9,2.8,5.2,1.6,6.4,1.9,3.6,1.9,6.8,1.6,5,1.7,8.9,2,5.4,0.9,6.1,2.3,4.5,2.3,6.2,1.7,5.3,2.9,7.3,1.1,5.1,1.3,3.8,2.2,6.6,0.6,7,3.1,9.2,4.8,4.3,2,7.5,1.9,10.4,3,3.8,2,10,2.8,9.8,4.5,10.3,2.5,6.3,0.5,6.4,0.8,6.2,0.8,7.6,1.1,7.9,1.9,7.3,0.6,5.4,1.2,6,1.4,4.6,1.8,7.5,1.2,6.4,1.5,8.8,1.7,4.1,1.4,3.6,1.7,4.9,1.5,3.2,0.7,2.3,0.8,4.4,1.5,2.5,0.9,2.9,1.6,2,0.8,1.6,0.6,0.2,0.3,3.4,1.3,2.4,0.7,1.8,1,3.1,1.4,11.9,0.3,11.5,0.5,12.6,0.6,3.9,0.2,4.7,1.5,3,1.9,7.6,2,6.7,3.5,8.8,0.6,41.2,1.4,44.6,2.2,36.9,1.9,80.6,0.7,80.6,2.2,80.5,2.6,77.9,*****,77.4,2.2,78.5,2.8,21.3,1.2,17.2,1.6,26.6,1.8,18,1.1,14.2,1.4,22.7,1.5,13.9,*****,10.7,0.3,17.8,0.6,6.5,0.9,4.9,1.6,8.5,0.3,40.7,2.2,39,1.9,42.4,1,125.4,8,(X),(X),(X),(X),56.2,*****,(X),(X),(X),(X),21.6,*****,(X),(X),(X),(X),34.5,*****,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),4,(X),(X),(X),(X),(X)
"Butler County, Alabama",20730,*****,9738,45,10992,45,6.2,0.1,6.9,0.1,5.6,0.1,6.8,0.8,8.3,1.1,5.4,1,7.1,0.8,7.2,1.1,7,1,6.2,0.2,7,0.1,5.5,0.1,5.8,0.2,5.6,0.2,6,0.3,6,0.2,5.7,0.1,6.2,0.1,6,0.2,5.8,0.2,6.1,0.2,5.6,0.7,4.7,0.9,6.4,0.9,5.8,0.8,6.3,0.9,5.3,1.1,6.8,0.3,6.7,0.5,6.8,0.1,7.5,0.1,7.7,0.2,7.3,0.2,7.1,0.7,7.3,1,6.9,1,6.6,0.7,6.7,1,6.5,1,5.2,0.7,5.6,0.9,4.9,0.8,3.5,0.7,2.9,0.9,4,0.9,3.5,0.6,2.7,0.7,4.1,0.9,2.8,0.5,1.9,0.6,3.7,0.7,1.7,0.5,0.9,0.4,2.4,0.8,13.9,0.4,15.5,0.5,12.4,0.3,3.9,0.2,4.3,0.1,3.5,0.1,8.1,0.2,8.2,0.2,8,0.3,35.3,0.2,35.1,0.4,35.4,0.3,78.5,0.5,76.8,0.6,80.1,0.7,76,0.4,73.2,0.5,78.5,0.4,23.3,0.8,20.8,1,25.6,1,20.3,0.7,18.2,0.9,22.2,0.8,16.8,0.2,14.1,0.3,19.1,0.2,8,0.1,5.6,0.1,10.2,0.1,40.3,0.7,38.7,0.9,42.2,0.8,88.6,0.8,(X),(X),(X),(X),68.8,1,(X),(X),(X),(X),28.3,0.4,(X),(X),(X),(X),40.5,0.9,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.6,(X),(X),(X),(X),(X)
"Calhoun County, Alabama",117834,*****,56686,108,61148,108,6.1,0.1,6.7,0.1,5.6,0.1,6.7,0.4,7.2,0.5,6.2,0.5,6.2,0.4,6.4,0.5,6.1,0.5,7,0.1,7.5,0.2,6.6,0.1,7.6,0.1,7.7,0.1,7.4,0.2,6.6,0.1,6.6,0.1,6.5,0.2,5.9,0.1,6,0.2,5.8,0.1,5.5,0.4,5.5,0.6,5.5,0.6,7,0.4,7.1,0.6,6.9,0.6,6.9,0.1,7,0.2,6.8,0.2,7.3,0.1,7.3,0.1,7.3,0.2,7.1,0.3,7,0.4,7.1,0.4,5.7,0.3,5.6,0.4,5.8,0.4,4.3,0.3,4.3,0.3,4.2,0.3,3.8,0.2,3.4,0.3,4.2,0.3,2.8,0.2,2.2,0.2,3.4,0.4,2.1,0.2,1.5,0.2,2.7,0.4,1.6,0.2,1.1,0.2,2,0.3,12.9,0.1,13.6,0.1,12.2,0.1,3.8,0.1,4.1,0.1,3.5,0.1,10.7,0.1,11.1,0.1,10.4,0.2,39.5,0.2,40.4,0.2,38.7,0.2,79.8,0.2,78.3,0.3,81.1,0.3,77.2,0.1,75.6,0.1,78.7,0.1,20.2,0.3,18,0.4,22.3,0.4,17.6,0.3,15.7,0.4,19.5,0.4,14.6,0.1,12.5,0.1,16.5,0.1,6.5,0.1,4.8,0.1,8.1,0.1,38.7,0.3,36.6,0.3,40.3,0.6,92.7,0.3,(X),(X),(X),(X),59.6,0.3,(X),(X),(X),(X),23.2,0.2,(X),(X),(X),(X),36.4,0.1,(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X),0.7,(X),(X),(X),(X),(X)
"Chambers County, Alabama",34228,*****,16232,62,17996,62,6,0.2,6.2,0.4,5.8,0.6,6.3,0.6,7.9,1,4.9,1.1,6.4,0.7,5.6,1.1,7,1.2,6.5,0.1,6.9,0.1,6.1,0.1,5.8,0.3,6.3,0.5,5.4,0.2,5.5,0.1,5.4,0.1,5.6,0.1,5.7,0.2,5.7,0.3,5.8,0.3,6.4,0.6,6.2,0.9,6.6,0.8,6.3,0.6,7,1,5.8,0.9,6.9,0.1,7.1,0.1,6.8,0.1,7.6,0.2,7.7,0.4,7.5,0.1,7,0.5,7.4,0.8,6.6,0.7,6.8,0.5,6.2,0.8,7.2,0.7,5.1,0.5,4.9,0.7,5.2,0.6,4.1,0.5,4.1,0.7,4.1,0.6,3.4,0.5,2.2,0.5,4.5,0.7,2.2,0.4,1.9,0.5,2.4,0.7,2.1,0.4,1.2,0.5,2.9,0.6,12.7,0.4,13.5,0.3,11.9,0.5,4.1,0.1,4.4,0.1,3.9,0.1,8.2,0.3,8.9,0.5,7.6,0.2,36.2,0.2,37.5,0.5,35.1,0.2,79.9,0.4,78.9,0.7,80.9,0.6,77.2,0.3,75.9,0.4,78.3,0.4,23.6,0.6,20.5,0.8,26.3,0.8,20.5,0.5,17.9,0.8,22.8,0.7,16.8,0.1,14.3,0.1,19.1,0.3,7.7,0.1,5.3,0.1,9.8,0.3,41.4,0.8,39.9,0.6,43.2,0.5,90.2,0.7,(X),(X),(X),(X),65.6,0.6,(X),(X),(X),(X),27.9,0.3,(X),(X),(X),(X),37.8,0.6,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),0.9,(X),(X),(X),(X),(X)
"Cherokee County, Alabama",25917,*****,12748,128,13169,128,5.5,0.3,6.4,0.5,4.6,0.2,5.3,0.8,5.3,1.2,5.4,0.9,6.1,0.8,6.4,1.2,5.7,0.9,6,0.4,6.6,0.6,5.5,0.4,5.7,0.5,4.9,0.4,6.4,0.9,4.8,0.2,4.7,0.3,4.9,0.3,5.4,0.4,5.4,0.4,5.4,0.5,4.5,0.8,4.1,1,4.9,1.1,7.8,0.9,8.7,1,6.9,1.1,7.3,0.4,7.4,0.5,7.1,0.5,8.1,0.4,8.1,0.7,8.1,0.4,8.9,0.9,8.8,1.2,9,1,6.5,0.9,6.6,1.2,6.3,1,6.3,0.7,6.2,0.9,6.5,1,5.1,0.6,4.9,0.9,5.2,0.9,3.3,0.5,2.1,0.7,4.4,0.7,1.9,0.5,2.1,0.7,1.8,0.7,1.5,0.5,1.2,0.6,1.7,0.6,11.4,0.3,11.7,0.3,11.1,0.3,3.7,0.2,3.8,0.2,3.6,0.4,8,0.5,7.7,0.7,8.3,0.8,34.3,0.5,34.5,0.7,34.1,0.7,81.2,0.4,79.8,0.7,82.6,0.7,79.4,0.3,78.1,0.4,80.7,0.6,24.6,0.9,23.2,1.2,25.9,1.1,22.4,0.7,21,1.1,23.9,0.9,18.1,0.4,16.6,0.4,19.6,0.4,6.7,0.1,5.4,0.2,7.9,0.2,44.3,0.4,43.5,0.6,45.1,0.3,96.8,1.9,(X),(X),(X),(X),63.2,1.2,(X),(X),(X),(X),29.5,0.7,(X),(X),(X),(X),33.6,0.7,(X),(X),(X),(X),0.3,(X),(X),(X),(X),(X),0.5,(X),(X),(X),(X),(X)
