Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Autauga County, Alabama",54590,43084,9880,169,439,0,212,806,43,763
"Baldwin County, Alabama",183226,158259,17016,1038,1347,4,2645,2917,196,2721
"Barbour County, Alabama",27469,13448,12645,25,212,0,570,569,37,532
"Bibb County, Alabama",22769,17459,4953,80,25,0,9,243,0,243
"Blount County, Alabama",57466,54507,754,230,97,0,1019,859,23,836
"Bullock County, Alabama",10779,3028,7609,24,0,35,0,83,0,83
"Butler County, Alabama",20730,11380,8961,36,183,0,22,148,40,108
"Calhoun County, Alabama",117834,88405,24421,318,827,84,1700,2079,165,1914
"Chambers County, Alabama",34228,20171,13409,17,178,16,47,390,24,366
"Cherokee County, Alabama",25917,24074,1253,163,78,5,74,270,14,256
"Chilton County, Alabama",43611,37872,4314,160,97,0,835,333,33,300
"Choctaw County, Alabama",13838,7670,5935,0,30,0,27,176,49,127
"Clarke County, Alabama",25768,14015,11310,122,94,0,47,180,0,180
"Clay County, Alabama",13828,11332,2157,25,0,0,118,196,10,186
"Cleburne County, Alabama",14905,14122,573,30,0,0,19,161,14,147
"Coffee County, Alabama",49966,38651,8663,440,654,0,305,1253,87,1166
"Colbert County, Alabama",54451,43915,8730,300,233,8,421,844,136,708
"Conecuh County, Alabama",13188,6794,6130,72,12,0,0,180,0,180
"Coosa County, Alabama",11305,7647,3558,7,0,0,9,84,0,84
"Covington County, Alabama",37803,32054,4754,203,116,35,155,486,103,383
"Crenshaw County, Alabama",13971,10142,3099,74,213,0,79,364,0,364
"Cullman County, Alabama",80403,77178,869,333,371,32,459,1161,87,1074
"Dale County, Alabama",50129,37588,9834,159,662,74,380,1432,34,1398
"Dallas County, Alabama",43572,12738,30057,68,150,8,190,361,6,355
"DeKalb County, Alabama",70949,64778,1236,1019,209,5,2156,1546,37,1509
"Elmore County, Alabama",79330,60119,16036,327,452,0,1123,1273,60,1213
"Escambia County, Alabama",38122,24024,12280,1418,142,15,12,231,26,205
"Etowah County, Alabama",104317,85430,15745,354,696,46,459,1587,118,1469
"Fayette County, Alabama",17219,14921,1942,38,58,0,0,260,50,210
"Franklin County, Alabama",31664,28001,1469,157,64,0,1650,323,83,240
"Geneva County, Alabama",26769,23239,2632,87,30,0,410,371,33,338
"Greene County, Alabama",9067,1608,7421,25,13,0,0,0,0,0
"Hale County, Alabama",15750,6292,9327,32,48,14,0,37,0,37
"Henry County, Alabama",17275,11888,4812,0,349,0,138,88,17,71
"Houston County, Alabama",101459,71132,26052,300,865,18,1302,1790,64,1726
"Jackson County, Alabama",53279,49024,1770,1037,198,20,196,1034,49,985
"Jefferson County, Alabama",658464,351974,277856,1238,9745,87,12042,5522,402,5120
"Lamar County, Alabama",14513,12655,1728,4,3,0,9,114,0,114
