Geography,Percent Males; Margin of Error; Population 25 years and over - Bachelor's degree,Percent Females; Estimate; Population 25 years and over - Graduate or professional degree,Percent Females; Margin of Error; Percent high school graduate or higher,Percent Males; Margin of Error; Percent bachelor's degree or higher,Percent Females; Margin of Error; Population 45 to 64 years - High school graduate or higher,Percent Males; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Percent; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Percent Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Percent Females; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Estimate; Total
"Baldwin County, Alabama",3.9,13.2,2.2,3.9,3.6,4.7,1.8,2.5,1.8,208563
"Calhoun County, Alabama",2.6,8.4,3.3,3.0,6.2,3.2,6.4,7.4,4.8,114611
"Cullman County, Alabama",2.9,6.8,4.1,3.5,5.7,3.2,6.3,5.6,5.3,82471
"DeKalb County, Alabama",3.0,4.8,4.2,3.1,7.4,8.5,4.1,6.0,5.4,70900
"Elmore County, Alabama",3.8,12.3,3.4,4.3,5.2,6.9,5.3,6.6,7.4,81799
"Etowah County, Alabama",2.7,6.6,3.9,3.1,6.8,4.2,5.6,5.7,5.6,102564
"Houston County, Alabama",1.7,7.2,1.5,2.0,2.3,3.2,5.8,5.8,2.8,104056
"Jefferson County, Alabama",1.4,13.1,1.0,1.6,1.3,2.0,4.4,4.4,1.2,659521
"Lauderdale County, Alabama",3.4,8.8,2.9,4.0,4.8,3.1,2.4,2.2,2.3,92318
"Lee County, Alabama",3.4,16.5,3.2,3.7,4.3,4.8,5.1,4.4,2.2,158991
"Limestone County, Alabama",3.1,7.0,6.4,3.7,9.0,4.8,2.1,1.2,1.5,92753
"Madison County, Alabama",1.9,14.2,1.2,2.1,1.6,2.6,3.8,4.1,1.7,356967
"Marshall County, Alabama",3.1,6.6,2.7,3.5,4.2,6.8,5.5,6.4,6.1,95157
"Mobile County, Alabama",1.6,9.1,1.6,1.7,2.6,2.1,5.8,5.3,1.7,414836
"Montgomery County, Alabama",1.9,13.3,1.6,2.1,2.8,3.1,3.0,3.8,1.9,226349
"Morgan County, Alabama",2.3,6.8,3.5,2.9,4.8,4.5,4.4,5.0,5.1,119012
"St. Clair County, Alabama",3.1,4.5,4.0,4.0,6.7,3.6,6.0,2.7,3.3,88019
"Shelby County, Alabama",3.0,14.1,1.8,3.1,2.2,2.5,4.2,3.2,1.6,210622
"Talladega County, Alabama",2.3,5.2,3.8,2.9,5.5,7.4,7.4,10.4,7.6,80103
"Tuscaloosa County, Alabama",3.1,14.1,1.9,3.4,2.2,2.7,5.7,4.8,2.5,206102
"Walker County, Alabama",3.4,4.6,3.8,4.0,4.8,4.4,3.6,1.8,3.0,64967
"Anchorage Municipality, Alaska",1.8,12.3,1.5,2.4,2.2,2.2,2.1,2.5,1.2,298192
"Fairbanks North Star Borough, Alaska",3.7,10.5,1.4,4.6,3.0,1.1,2.4,3.1,3.4,100605
"Matanuska-Susitna Borough, Alaska",2.1,7.5,1.8,2.7,2.1,2.9,5.7,6.7,6.4,104365
"Apache County, Arizona",1.8,4.9,2.7,2.2,3.7,4.6,7.7,5.7,3.6,73112
"Cochise County, Arizona",2.6,9.0,2.6,3.1,4.8,4.9,6.3,6.7,3.1,125770
"Coconino County, Arizona",3.5,16.1,2.3,3.7,3.2,3.2,7.0,6.0,3.0,140908
"Maricopa County, Arizona",0.5,11.1,0.4,0.6,0.8,0.7,5.1,5.4,0.6,4242997
"Mohave County, Arizona",1.6,4.7,2.3,1.8,3.5,3.8,7.9,9.6,4.2,205249
"Navajo County, Arizona",2.1,4.6,2.6,2.8,3.8,3.8,6.2,5.2,3.4,110026
"Pima County, Arizona",1.0,13.5,0.7,1.3,1.3,1.8,6.0,5.6,1.0,1016206
"Pinal County, Arizona",1.4,6.5,1.6,1.5,2.5,2.4,6.8,9.4,3.2,418540
"Yavapai County, Arizona",2.2,10.5,1.6,2.7,2.6,3.1,5.1,5.6,2.6,225562
"Yuma County, Arizona",1.7,6.3,2.3,2.1,4.8,4.5,4.1,4.8,3.5,205631
"Benton County, Arkansas",2.5,8.9,1.4,2.7,2.9,2.1,3.7,4.1,2.4,258291
"Craighead County, Arkansas",3.4,8.3,3.3,4.0,3.6,6.5,4.0,1.4,1.9,105835
"Faulkner County, Arkansas",3.0,11.5,2.1,3.6,2.9,5.0,6.5,7.4,5.2,122227
"Garland County, Arkansas",3.2,6.6,3.3,3.3,5.1,3.0,2.9,3.9,3.2,97477
"Jefferson County, Arkansas",3.0,6.9,4.0,3.9,6.1,2.7,7.9,9.8,7.5,70016
"Lonoke County, Arkansas",3.7,7.6,2.3,4.8,3.1,3.5,2.8,2.4,2.9,72228
"Pulaski County, Arkansas",2.1,13.7,1.3,2.3,2.1,1.9,4.7,3.6,1.6,393250
"Saline County, Arkansas",3.8,12.2,2.0,3.7,2.6,4.6,1.8,2.0,2.0,118703
"Sebastian County, Arkansas",2.3,5.8,2.8,2.8,4.4,5.2,4.3,3.8,4.1,127793
"Washington County, Arkansas",2.7,14.8,2.3,3.1,4.0,4.2,4.6,3.1,1.6,228049
"White County, Arkansas",3.6,11.1,3.2,5.3,4.6,3.1,10.6,11.8,10.0,79263
"Alameda County, California",0.8,18.4,0.7,1.0,1.3,1.3,4.5,5.1,0.6,1647704
"Butte County, California",2.3,10.4,1.4,2.6,2.3,3.2,7.3,8.5,3.8,226864
"Contra Costa County, California",1.4,14.9,0.9,1.2,1.3,1.3,3.2,3.2,0.7,1135127
"El Dorado County, California",2.5,12.8,1.6,2.8,1.7,3.7,4.9,5.2,2.4,185625
"Fresno County, California",1.0,7.3,1.2,1.0,2.1,1.7,6.4,6.1,1.8,979915
"Humboldt County, California",3.3,9.3,2.3,4.0,4.1,5.4,7.9,10.3,4.7,136646
"Imperial County, California",2.4,5.1,3.1,2.6,5.4,3.5,3.6,3.1,2.8,180883
"Kern County, California",1.0,5.2,1.4,1.1,2.1,2.0,4.3,5.5,1.9,884788
"Kings County, California",1.7,4.5,3.1,1.9,5.2,4.9,4.1,6.6,4.8,149785
"Lake County, California",2.8,5.0,4.8,4.1,6.2,7.2,12.2,12.6,11.7,64116
"Los Angeles County, California",0.3,10.8,0.3,0.3,0.5,0.5,6.3,6.6,0.3,10137915
"Madera County, California",2.1,3.9,3.1,2.6,5.2,2.7,5.4,5.2,5.9,154697
"Marin County, California",2.4,24.1,1.2,2.7,1.5,2.7,2.7,3.1,1.1,260651
"Mendocino County, California",2.7,8.5,2.6,3.1,5.4,3.9,6.4,7.6,5.6,87628
"Merced County, California",1.9,5.7,2.5,2.2,4.8,4.1,4.0,5.5,3.1,268672
"Monterey County, California",1.4,9.9,1.8,1.5,3.0,2.5,4.8,5.7,2.4,435232
"Napa County, California",2.4,12.5,2.6,2.9,3.3,2.9,3.3,2.9,1.3,142166
"Nevada County, California",3.1,12.6,2.6,4.1,3.9,3.9,5.8,5.9,3.2,99107
"Orange County, California",0.7,13.2,0.5,0.8,0.8,0.8,4.7,5.4,0.8,3172532
"Placer County, California",2.2,12.3,1.0,2.5,1.3,1.8,3.5,4.5,1.8,380531
