,"Baldwin County, Alabama",208563
1,"Calhoun County, Alabama",114611
2,"Cullman County, Alabama",82471
3,"DeKalb County, Alabama",70900
4,"Elmore County, Alabama",81799
5,"Etowah County, Alabama",102564
6,"Houston County, Alabama",104056
7,"Jefferson County, Alabama",659521
8,"Lauderdale County, Alabama",92318
9,"Lee County, Alabama",158991
10,"Limestone County, Alabama",92753
11,"Madison County, Alabama",356967
12,"Marshall County, Alabama",95157
13,"Mobile County, Alabama",414836
14,"Montgomery County, Alabama",226349
15,"Morgan County, Alabama",119012
16,"St. Clair County, Alabama",88019
17,"Shelby County, Alabama",210622
18,"Talladega County, Alabama",80103
19,"Tuscaloosa County, Alabama",206102
20,"Walker County, Alabama",64967
21,"Anchorage Municipality, Alaska",298192
22,"Fairbanks North Star Borough, Alaska",100605
23,"Matanuska-Susitna Borough, Alaska",104365
24,"Apache County, Arizona",73112
25,"Cochise County, Arizona",125770
26,"Coconino County, Arizona",140908
27,"Maricopa County, Arizona",4242997
28,"Mohave County, Arizona",205249
29,"Navajo County, Arizona",110026
30,"Pima County, Arizona",1016206
31,"Pinal County, Arizona",418540
32,"Yavapai County, Arizona",225562
33,"Yuma County, Arizona",205631
34,"Benton County, Arkansas",258291
35,"Craighead County, Arkansas",105835
36,"Faulkner County, Arkansas",122227
37,"Garland County, Arkansas",97477
38,"Jefferson County, Arkansas",70016
39,"Lonoke County, Arkansas",72228
40,"Pulaski County, Arkansas",393250
41,"Saline County, Arkansas",118703
42,"Sebastian County, Arkansas",127793
43,"Washington County, Arkansas",228049
44,"White County, Arkansas",79263
45,"Alameda County, California",1647704
46,"Butte County, California",226864
47,"Contra Costa County, California",1135127
48,"El Dorado County, California",185625
49,"Fresno County, California",979915
50,"Humboldt County, California",136646
51,"Imperial County, California",180883
52,"Kern County, California",884788
53,"Kings County, California",149785
54,"Lake County, California",64116
55,"Los Angeles County, California",10137915
56,"Madera County, California",154697
57,"Marin County, California",260651
58,"Mendocino County, California",87628
59,"Merced County, California",268672
60,"Monterey County, California",435232
61,"Napa County, California",142166
62,"Nevada County, California",99107
63,"Orange County, California",3172532
64,"Placer County, California",380531
65,"Riverside County, California",2387741
66,"Sacramento County, California",1514460
67,"San Bernardino County, California",2140096
68,"San Diego County, California",3317749
69,"San Francisco County, California",870887
70,"San Joaquin County, California",733709
71,"San Luis Obispo County, California",282887
72,"San Mateo County, California",764797
73,"Santa Barbara County, California",446170
74,"Santa Clara County, California",1919402
75,"Santa Cruz County, California",274673
76,"Shasta County, California",179631
77,"Solano County, California",440207
78,"Sonoma County, California",503070
79,"Stanislaus County, California",541560
80,"Sutter County, California",96651
81,"Tulare County, California",460437
82,"Ventura County, California",849738
83,"Yolo County, California",215802
84,"Yuba County, California",75275
85,"Adams County, Colorado",498187
86,"Arapahoe County, Colorado",637068
87,"Boulder County, Colorado",322226
88,"Broomfield County, Colorado",66529
89,"Denver County, Colorado",693060
90,"Douglas County, Colorado",328632
91,"El Paso County, Colorado",688284
92,"Jefferson County, Colorado",571837
93,"Larimer County, Colorado",339993
94,"Mesa County, Colorado",150083
95,"Pueblo County, Colorado",165123
96,"Weld County, Colorado",294932
97,"Fairfield County, Connecticut",944177
98,"Hartford County, Connecticut",892389
99,"Litchfield County, Connecticut",182571
100,"Middlesex County, Connecticut",163329
101,"New Haven County, Connecticut",856875
102,"New London County, Connecticut",269801
103,"Tolland County, Connecticut",151118
104,"Windham County, Connecticut",116192
105,"Kent County, Delaware",174827
106,"New Castle County, Delaware",556987
107,"Sussex County, Delaware",220251
108,"District of Columbia, District of Columbia",681170
109,"Alachua County, Florida",263496
110,"Bay County, Florida",183974
111,"Brevard County, Florida",579130
112,"Broward County, Florida",1909632
113,"Charlotte County, Florida",178465
114,"Citrus County, Florida",143621
115,"Clay County, Florida",208311
116,"Collier County, Florida",365136
117,"Columbia County, Florida",69299
118,"Duval County, Florida",926255
119,"Escambia County, Florida",315187
120,"Flagler County, Florida",108310
121,"Hernando County, Florida",182835
122,"Highlands County, Florida",100917
123,"Hillsborough County, Florida",1376238
124,"Indian River County, Florida",151563
125,"Lake County, Florida",335396
126,"Lee County, Florida",722336
127,"Leon County, Florida",287822
128,"Manatee County, Florida",375888
129,"Marion County, Florida",349020
130,"Martin County, Florida",158701
131,"Miami-Dade County, Florida",2712945
132,"Monroe County, Florida",79077
133,"Nassau County, Florida",80622
134,"Okaloosa County, Florida",201170
135,"Orange County, Florida",1314367
136,"Osceola County, Florida",336015
137,"Palm Beach County, Florida",1443810
138,"Pasco County, Florida",512368
139,"Pinellas County, Florida",960730
140,"Polk County, Florida",666149
141,"Putnam County, Florida",72277
142,"St. Johns County, Florida",235087
143,"St. Lucie County, Florida",306507
144,"Santa Rosa County, Florida",170497
145,"Sarasota County, Florida",412569
146,"Seminole County, Florida",455479
147,"Sumter County, Florida",123996
148,"Volusia County, Florida",529364
149,"Walton County, Florida",65889
150,"Barrow County, Georgia",77126
151,"Bartow County, Georgia",103807
152,"Bibb County, Georgia",152760
153,"Bulloch County, Georgia",74722
154,"Carroll County, Georgia",116261
155,"Catoosa County, Georgia",66398
156,"Chatham County, Georgia",289082
157,"Cherokee County, Georgia",241689
158,"Clarke County, Georgia",124707
159,"Clayton County, Georgia",279462
160,"Cobb County, Georgia",748150
161,"Columbia County, Georgia",147450
162,"Coweta County, Georgia",140526
163,"DeKalb County, Georgia",740321
164,"Dougherty County, Georgia",90017
165,"Douglas County, Georgia",142224
166,"Fayette County, Georgia",111627
167,"Floyd County, Georgia",96560
168,"Forsyth County, Georgia",221009
169,"Fulton County, Georgia",1023336
170,"Glynn County, Georgia",84502
171,"Gwinnett County, Georgia",907135
172,"Hall County, Georgia",196637
173,"Henry County, Georgia",221768
174,"Houston County, Georgia",152122
175,"Liberty County, Georgia",62570
176,"Lowndes County, Georgia",114628
177,"Muscogee County, Georgia",197485
178,"Newton County, Georgia",106999
179,"Paulding County, Georgia",155825
180,"Richmond County, Georgia",201647
181,"Rockdale County, Georgia",89355
182,"Troup County, Georgia",70005
183,"Walker County, Georgia",67896
184,"Walton County, Georgia",90184
185,"Whitfield County, Georgia",104589
186,"Hawaii County, Hawaii",198449
187,"Honolulu County, Hawaii",992605
188,"Kauai County, Hawaii",72029
189,"Maui County, Hawaii",165379
190,"Ada County, Idaho",444028
191,"Bannock County, Idaho",84377
192,"Bonneville County, Idaho",112232
193,"Canyon County, Idaho",211698
194,"Kootenai County, Idaho",154311
195,"Twin Falls County, Idaho",83514
196,"Adams County, Illinois",66578
197,"Champaign County, Illinois",208419
198,"Cook County, Illinois",5203499
199,"DeKalb County, Illinois",104528
200,"DuPage County, Illinois",929368
201,"Kane County, Illinois",531715
202,"Kankakee County, Illinois",110008
203,"Kendall County, Illinois",124695
204,"Lake County, Illinois",703047
205,"LaSalle County, Illinois",110642
206,"McHenry County, Illinois",307004
207,"McLean County, Illinois",172418
208,"Macon County, Illinois",106550
209,"Madison County, Illinois",265759
210,"Peoria County, Illinois",185006
