Estimate; Total: 0.0
Estimate; Total: 0.0
Percent Females; Estimate; Percent bachelor's degree or higher: 0.167510599925
Total; Estimate; All households - With cash public assistance income: 0.125435402107
Percent Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma: 0.113589096811
Percent Females; Estimate; Percent high school graduate or higher: 0.0992729880047
Percent Females; Estimate; Population 25 years and over - High school graduate (includes equivalency): 0.0953122569329
Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other: 0.0847960009876
Percent Females; Estimate; Population 25 years and over - Less than 9th grade: 0.0773117787173
Percent Females; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher: 0.0768232506595
Total; Estimate; All households - With Social Security income: 0.0671111301084
Percent Females; Estimate; Population 65 years and over - Bachelor's degree or higher: 0.0650248164365
Percent Males; Estimate; Population 25 years and over - Bachelor's degree: 0.0606923744644
Percent Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.0580839323479
Percent Females; Estimate; White alone, not Hispanic or Latino - High school graduate or higher: 0.0542503494559
Percent Females; Estimate; Population 25 years and over - Some college, no degree: 0.0521500504638
Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other: 0.050597028978
Percent Females; Estimate; Population 25 years and over - Graduate or professional degree: 0.0503124884513
Total; Estimate; All households - With earnings: 0.0467786100551
Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree: 0.0456295155491
Percent Females; Estimate; Population 45 to 64 years - Bachelor's degree or higher: 0.0446893985775
Percent Females; Estimate; Population 65 years and over - High school graduate or higher: 0.0432174248269
Percent; Estimate; Two or more races - Bachelor's degree or higher: 0.0421746612849
Percent Males; Estimate; Percent bachelor's degree or higher: 0.0410294626862
Percent Females; Estimate; Population 25 years and over - Associate's degree: 0.0371689437529
Percent Males; Estimate; Population 45 to 64 years - Bachelor's degree or higher: 0.0336973743071
Percent Females; Estimate; Population 45 to 64 years - High school graduate or higher: 0.0330114931109
Percent Males; Estimate; Population 65 years and over - Bachelor's degree or higher: 0.0321518183345
Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency): 0.0316103171778
Percent Females; Estimate; Population 25 to 34 years - High school graduate or higher: 0.0301221979306
Percent Females; Estimate; Asian alone - Bachelor's degree or higher: 0.030020578455
Percent Females; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher: 0.0275604901547
Percent; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher: 0.02683848343
Percent Males; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher: 0.0257866923116
Percent; Estimate; Population 18 to 24 years - Bachelor's degree or higher: 0.025777002996
Percent Males; Estimate; White alone, not Hispanic or Latino - High school graduate or higher: 0.0237755436991
Percent; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.0221112379692
Percent Males; Estimate; Population 65 years and over - High school graduate or higher: 0.0219335143924
Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White: 0.0212131206397
Percent Females; Estimate; Population 35 to 44 years - Bachelor's degree or higher: 0.0210031120979
Percent Males; Estimate; Two or more races - Bachelor's degree or higher: 0.0208672070481
Percent; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency): 0.0191947097315
Percent Males; Estimate; Some other race alone - Bachelor's degree or higher: 0.0186947381322
Percent Males; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher: 0.0184701644434
Percent; Estimate; White alone, not Hispanic or Latino - High school graduate or higher: 0.0183724930504
Percent; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher: 0.0177625841648
Percent; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher: 0.0168273888695
Percent Males; Estimate; Population 25 to 34 years - Bachelor's degree or higher: 0.0163781569563
Percent Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree: 0.0159600914078
Percent Males; Estimate; Some other race alone - High school graduate or higher: 0.015749623037
Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races: 0.0157226877175
Percent Females; Estimate; Population 25 to 34 years - Bachelor's degree or higher: 0.0150400690287
Percent Males; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher: 0.0148490146717
Percent Males; Estimate; Population 25 years and over - Some college, no degree: 0.0147346024313
Percent; Estimate; Population 25 years and over - Associate's degree: 0.0139022392461
Percent Males; Estimate; Population 45 to 64 years - High school graduate or higher: 0.0131865080476
Total; Estimate; All households - With retirement income: 0.0131244688052
Percent; Estimate; Population 25 years and over - Graduate or professional degree: 0.0129742163405
Percent Females; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher: 0.0129473031878
Percent Males; Estimate; Population 25 years and over - High school graduate (includes equivalency): 0.0125189854714
Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian: 0.0123435206502
Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked: 0.0121508681334
Percent; Estimate; Population 25 years and over - Some college, no degree: 0.0120001726385
Percent Males; Estimate; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher: 0.0117301665817
Percent Males; Estimate; Black alone - Bachelor's degree or higher: 0.0112296939993
Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked: 0.0112238254839
Percent Females; Estimate; Population 35 to 44 years - High school graduate or higher: 0.0108276775128
Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker: 0.0103747228933
Percent Females; Estimate; Population 25 years and over - Bachelor's degree: 0.00911367658114
Percent Males; Estimate; Asian alone - Bachelor's degree or higher: 0.00833061023992
Percent Males; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher: 0.00793378526203
Percent; Estimate; Population 65 years and over - Bachelor's degree or higher: 0.00687040252875
Percent Females; Estimate; Some other race alone - Bachelor's degree or higher: 0.00662765854287
Total; Estimate; All households - With Supplemental Security Income (SSI): 0.00653305618494
Percent Females; Estimate; Some other race alone - High school graduate or higher: 0.00646776831527
Percent; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher: 0.00615430184513
Percent Females; Estimate; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher: 0.00611633783294
Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers: 0.0060607846293
Percent; Estimate; Population 25 years and over - High school graduate (includes equivalency): 0.00565130435942
Percent Females; Estimate; American Indian or Alaska Native alone - High school graduate or higher: 0.00553913486926
Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American: 0.00546905022917
Percent Males; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher: 0.00533051545511
Percent Females; Estimate; American Indian or Alaska Native alone - Bachelor's degree or higher: 0.00522354040142
Percent Females; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher: 0.00475684155533
Percent; Estimate; Population 25 to 34 years - High school graduate or higher: 0.00470534148315
Percent; Estimate; American Indian or Alaska Native alone - High school graduate or higher: 0.00462699234858
Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander: 0.00449960254024
Percent Females; Estimate; Population 18 to 24 years - Some college or associate's degree: 0.00437140577769
Percent; Estimate; Population 35 to 44 years - Bachelor's degree or higher: 0.0042464699635
Percent Females; Estimate; Two or more races - Bachelor's degree or higher: 0.00420699267598
Percent Males; Estimate; American Indian or Alaska Native alone - Bachelor's degree or higher: 0.00419226149142
Percent; Estimate; Percent high school graduate or higher: 0.00417002799556
Percent Males; Estimate; Population 35 to 44 years - Bachelor's degree or higher: 0.00416693735908
Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race: 0.00410130758342
Percent Females; Estimate; Hispanic or Latino Origin - High school graduate or higher: 0.00394401684601
Percent Males; Estimate; Population 18 to 24 years - Bachelor's degree or higher: 0.00385882385985
Percent Males; Estimate; Black alone - High school graduate or higher: 0.00369038471149
Percent Males; Estimate; Population 25 years and over - Associate's degree: 0.00353898377889
Percent; Estimate; Population 18 to 24 years - Some college or associate's degree: 0.00351794729643
Percent; Estimate; Population 65 years and over - High school graduate or higher: 0.00346923746836
Percent Males; Estimate; Population 25 years and over - 9th to 12th grade, no diploma: 0.00344238926238
Percent; Estimate; Population 45 to 64 years - Bachelor's degree or higher: 0.00336339722457
Percent Males; Estimate; Population 25 years and over - Graduate or professional degree: 0.0033460391912
Percent; Estimate; Population 25 years and over - Bachelor's degree: 0.00312076325189
Percent Females; Estimate; Black alone - Bachelor's degree or higher: 0.0029197417579
Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.00287535966381
Percent; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate: 0.00260818274429
