Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Baldwin County, Alabama",208563,*****,4936,1461
"Calhoun County, Alabama",114611,*****,1979,670
"Cullman County, Alabama",82471,*****,349,301
"DeKalb County, Alabama",70900,*****,1484,622
"Etowah County, Alabama",102564,*****,1539,825
"Houston County, Alabama",104056,*****,1826,412
"Jefferson County, Alabama",659521,*****,13001,3436
"Lauderdale County, Alabama",92318,*****,1178,752
"Lee County, Alabama",158991,*****,2039,1126
"Limestone County, Alabama",92753,*****,1238,647
"Madison County, Alabama",356967,*****,9538,2058
"Marshall County, Alabama",95157,*****,971,295
"Mobile County, Alabama",414836,*****,6837,1682
"Montgomery County, Alabama",226349,*****,4559,2177
"Morgan County, Alabama",119012,*****,2609,1224
"Shelby County, Alabama",210622,*****,4331,1343
"Talladega County, Alabama",80103,*****,424,267
"Tuscaloosa County, Alabama",206102,*****,1510,861
"Anchorage Municipality, Alaska",298192,*****,29445,3905
"Fairbanks North Star Borough, Alaska",100605,*****,6350,1738
"Matanuska-Susitna Borough, Alaska",104365,*****,9538,1551
"Apache County, Arizona",73112,*****,2185,1035
"Cochise County, Arizona",125770,*****,3224,1197
"Coconino County, Arizona",140908,*****,4537,1425
"Maricopa County, Arizona",4242997,*****,119708,8121
"Mohave County, Arizona",205249,*****,5087,1566
"Navajo County, Arizona",110026,*****,3995,1252
"Pima County, Arizona",1016206,*****,39714,5660
"Pinal County, Arizona",418540,*****,11392,2478
"Yavapai County, Arizona",225562,*****,4140,972
"Yuma County, Arizona",205631,*****,4553,1517
"Benton County, Arkansas",258291,*****,7948,1439
"Craighead County, Arkansas",105835,*****,2284,1120
"Faulkner County, Arkansas",122227,*****,3453,961
"Garland County, Arkansas",97477,*****,1343,846
"Jefferson County, Arkansas",70016,*****,582,446
"Lonoke County, Arkansas",72228,*****,1748,756
"Pulaski County, Arkansas",393250,*****,9695,2434
"Saline County, Arkansas",118703,*****,1556,780
