Geography,Estimate; Total
"Baldwin County, Alabama",208563
"Calhoun County, Alabama",114611
"Cullman County, Alabama",82471
"DeKalb County, Alabama",70900
"Elmore County, Alabama",81799
"Etowah County, Alabama",102564
"Houston County, Alabama",104056
"Jefferson County, Alabama",659521
"Lauderdale County, Alabama",92318
"Lee County, Alabama",158991
"Limestone County, Alabama",92753
"Madison County, Alabama",356967
"Marshall County, Alabama",95157
"Mobile County, Alabama",414836
"Montgomery County, Alabama",226349
"Morgan County, Alabama",119012
"St. Clair County, Alabama",88019
"Shelby County, Alabama",210622
"Talladega County, Alabama",80103
"Tuscaloosa County, Alabama",206102
"Walker County, Alabama",64967
"Anchorage Municipality, Alaska",298192
"Fairbanks North Star Borough, Alaska",100605
"Matanuska-Susitna Borough, Alaska",104365
"Apache County, Arizona",73112
"Cochise County, Arizona",125770
"Coconino County, Arizona",140908
"Maricopa County, Arizona",4242997
"Mohave County, Arizona",205249
"Navajo County, Arizona",110026
"Pima County, Arizona",1016206
"Pinal County, Arizona",418540
"Yavapai County, Arizona",225562
"Yuma County, Arizona",205631
"Benton County, Arkansas",258291
"Craighead County, Arkansas",105835
"Faulkner County, Arkansas",122227
"Garland County, Arkansas",97477
"Jefferson County, Arkansas",70016
"Lonoke County, Arkansas",72228
"Pulaski County, Arkansas",393250
"Saline County, Arkansas",118703
"Sebastian County, Arkansas",127793
"Washington County, Arkansas",228049
"White County, Arkansas",79263
"Alameda County, California",1647704
"Butte County, California",226864
"Contra Costa County, California",1135127
"El Dorado County, California",185625
"Fresno County, California",979915
"Humboldt County, California",136646
"Imperial County, California",180883
"Kern County, California",884788
"Kings County, California",149785
"Lake County, California",64116
"Los Angeles County, California",10137915
"Madera County, California",154697
"Marin County, California",260651
"Mendocino County, California",87628
"Merced County, California",268672
"Monterey County, California",435232
"Napa County, California",142166
"Nevada County, California",99107
"Orange County, California",3172532
"Placer County, California",380531
"Riverside County, California",2387741
"Sacramento County, California",1514460
"San Bernardino County, California",2140096
"San Diego County, California",3317749
"San Francisco County, California",870887
"San Joaquin County, California",733709
"San Luis Obispo County, California",282887
"San Mateo County, California",764797
"Santa Barbara County, California",446170
"Santa Clara County, California",1919402
"Santa Cruz County, California",274673
"Shasta County, California",179631
"Solano County, California",440207
"Sonoma County, California",503070
"Stanislaus County, California",541560
"Sutter County, California",96651
"Tulare County, California",460437
"Ventura County, California",849738
"Yolo County, California",215802
"Yuba County, California",75275
"Adams County, Colorado",498187
"Arapahoe County, Colorado",637068
"Boulder County, Colorado",322226
"Broomfield County, Colorado",66529
"Denver County, Colorado",693060
"Douglas County, Colorado",328632
"El Paso County, Colorado",688284
"Jefferson County, Colorado",571837
"Larimer County, Colorado",339993
"Mesa County, Colorado",150083
"Pueblo County, Colorado",165123
"Weld County, Colorado",294932
"Fairfield County, Connecticut",944177
"Hartford County, Connecticut",892389
"Litchfield County, Connecticut",182571
"Middlesex County, Connecticut",163329
"New Haven County, Connecticut",856875
"New London County, Connecticut",269801
"Tolland County, Connecticut",151118
"Windham County, Connecticut",116192
"Kent County, Delaware",174827
"New Castle County, Delaware",556987
"Sussex County, Delaware",220251
"District of Columbia, District of Columbia",681170
"Alachua County, Florida",263496
"Bay County, Florida",183974
"Brevard County, Florida",579130
"Broward County, Florida",1909632
"Charlotte County, Florida",178465
"Citrus County, Florida",143621
"Clay County, Florida",208311
"Collier County, Florida",365136
"Columbia County, Florida",69299
"Duval County, Florida",926255
"Escambia County, Florida",315187
"Flagler County, Florida",108310
"Hernando County, Florida",182835
"Highlands County, Florida",100917
"Hillsborough County, Florida",1376238
"Indian River County, Florida",151563
"Lake County, Florida",335396
"Lee County, Florida",722336
"Leon County, Florida",287822
"Manatee County, Florida",375888
"Marion County, Florida",349020
"Martin County, Florida",158701
"Miami-Dade County, Florida",2712945
"Monroe County, Florida",79077
"Nassau County, Florida",80622
"Okaloosa County, Florida",201170
"Orange County, Florida",1314367
"Osceola County, Florida",336015
"Palm Beach County, Florida",1443810
"Pasco County, Florida",512368
"Pinellas County, Florida",960730
"Polk County, Florida",666149
"Putnam County, Florida",72277
"St. Johns County, Florida",235087
"St. Lucie County, Florida",306507
"Santa Rosa County, Florida",170497
"Sarasota County, Florida",412569
"Seminole County, Florida",455479
"Sumter County, Florida",123996
"Volusia County, Florida",529364
"Walton County, Florida",65889
"Barrow County, Georgia",77126
"Bartow County, Georgia",103807
"Bibb County, Georgia",152760
"Bulloch County, Georgia",74722
"Carroll County, Georgia",116261
"Catoosa County, Georgia",66398
"Chatham County, Georgia",289082
"Cherokee County, Georgia",241689
"Clarke County, Georgia",124707
"Clayton County, Georgia",279462
"Cobb County, Georgia",748150
"Columbia County, Georgia",147450
"Coweta County, Georgia",140526
"DeKalb County, Georgia",740321
"Dougherty County, Georgia",90017
"Douglas County, Georgia",142224
"Fayette County, Georgia",111627
"Floyd County, Georgia",96560
"Forsyth County, Georgia",221009
"Fulton County, Georgia",1023336
"Glynn County, Georgia",84502
"Gwinnett County, Georgia",907135
"Hall County, Georgia",196637
"Henry County, Georgia",221768
"Houston County, Georgia",152122
"Liberty County, Georgia",62570
"Lowndes County, Georgia",114628
"Muscogee County, Georgia",197485
"Newton County, Georgia",106999
"Paulding County, Georgia",155825
"Richmond County, Georgia",201647
"Rockdale County, Georgia",89355
"Troup County, Georgia",70005
"Walker County, Georgia",67896
"Walton County, Georgia",90184
"Whitfield County, Georgia",104589
"Hawaii County, Hawaii",198449
"Honolulu County, Hawaii",992605
"Kauai County, Hawaii",72029
"Maui County, Hawaii",165379
"Ada County, Idaho",444028
"Bannock County, Idaho",84377
"Bonneville County, Idaho",112232
"Canyon County, Idaho",211698
"Kootenai County, Idaho",154311
"Twin Falls County, Idaho",83514
"Adams County, Illinois",66578
"Champaign County, Illinois",208419
"Cook County, Illinois",5203499
"DeKalb County, Illinois",104528
"DuPage County, Illinois",929368
"Kane County, Illinois",531715
"Kankakee County, Illinois",110008
"Kendall County, Illinois",124695
"Lake County, Illinois",703047
"LaSalle County, Illinois",110642
"McHenry County, Illinois",307004
"McLean County, Illinois",172418
"Macon County, Illinois",106550
"Madison County, Illinois",265759
"Peoria County, Illinois",185006
"Rock Island County, Illinois",144784
"St. Clair County, Illinois",262759
"Sangamon County, Illinois",197499
"Tazewell County, Illinois",134385
"Vermilion County, Illinois",78111
"Will County, Illinois",689529
"Williamson County, Illinois",67560
"Winnebago County, Illinois",285873
"Allen County, Indiana",370404
"Bartholomew County, Indiana",81402
"Clark County, Indiana",116031
"Delaware County, Indiana",115603
"Elkhart County, Indiana",203781
"Floyd County, Indiana",76990
"Grant County, Indiana",66937
"Hamilton County, Indiana",316373
"Hancock County, Indiana",73717
"Hendricks County, Indiana",160610
"Howard County, Indiana",82568
"Johnson County, Indiana",151982
"Kosciusko County, Indiana",79092
"Lake County, Indiana",485846
"LaPorte County, Indiana",110015
"Madison County, Indiana",129296
"Marion County, Indiana",941229
"Monroe County, Indiana",145496
"Morgan County, Indiana",69698
"Porter County, Indiana",167791
"St. Joseph County, Indiana",269141
"Tippecanoe County, Indiana",188059
"Vanderburgh County, Indiana",181721
"Vigo County, Indiana",107931
"Wayne County, Indiana",66568
"Black Hawk County, Iowa",132904
"Dallas County, Iowa",84516
"Dubuque County, Iowa",97003
"Johnson County, Iowa",146547
"Linn County, Iowa",221661
"Polk County, Iowa",474045
"Pottawattamie County, Iowa",93582
"Scott County, Iowa",172474
"Story County, Iowa",97090
"Woodbury County, Iowa",102779
"Butler County, Kansas",67025
"Douglas County, Kansas",119440
"Johnson County, Kansas",584451
"Leavenworth County, Kansas",80204
"Riley County, Kansas",73343
"Sedgwick County, Kansas",511995
"Shawnee County, Kansas",178146
"Wyandotte County, Kansas",163831
"Boone County, Kentucky",128536
"Bullitt County, Kentucky",79151
"Campbell County, Kentucky",92211
"Christian County, Kentucky",72351
"Daviess County, Kentucky",99674
"Fayette County, Kentucky",318449
"Hardin County, Kentucky",107316
"Jefferson County, Kentucky",765352
"Kenton County, Kentucky",164945
"McCracken County, Kentucky",65162
"Madison County, Kentucky",89547
"Oldham County, Kentucky",65560
"Warren County, Kentucky",125532
"Ascension Parish, Louisiana",121587
"Bossier Parish, Louisiana",126057
"Caddo Parish, Louisiana",248851
"Calcasieu Parish, Louisiana",200601
"East Baton Rouge Parish, Louisiana",447037
"Iberia Parish, Louisiana",73273
"Jefferson Parish, Louisiana",436523
"Lafayette Parish, Louisiana",241398
"Lafourche Parish, Louisiana",98305
"Livingston Parish, Louisiana",140138
"Orleans Parish, Louisiana",391495
"Ouachita Parish, Louisiana",156983
"Rapides Parish, Louisiana",132424
"St. Landry Parish, Louisiana",83883
"St. Tammany Parish, Louisiana",253602
"Tangipahoa Parish, Louisiana",130710
"Terrebonne Parish, Louisiana",113220
"Androscoggin County, Maine",107319
"Aroostook County, Maine",67959
"Cumberland County, Maine",292041
"Kennebec County, Maine",120569
"Penobscot County, Maine",151806
"York County, Maine",202343
"Allegany County, Maryland",72130
"Anne Arundel County, Maryland",568346
"Baltimore County, Maryland",831026
"Calvert County, Maryland",91251
"Carroll County, Maryland",167656
"Cecil County, Maryland",102603
"Charles County, Maryland",157705
"Frederick County, Maryland",247591
"Harford County, Maryland",251032
"Howard County, Maryland",317233
"Montgomery County, Maryland",1043863
"Prince George's County, Maryland",908049
"St. Mary's County, Maryland",112587
"Washington County, Maryland",150292
"Wicomico County, Maryland",102577
"Baltimore city, Maryland",614664
"Barnstable County, Massachusetts",214276
"Berkshire County, Massachusetts",126903
"Bristol County, Massachusetts",558324
"Essex County, Massachusetts",779018
"Franklin County, Massachusetts",70382
"Hampden County, Massachusetts",468467
