Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Baldwin County, Alabama",208563,*****,180484,1072,18821,1155,1383,1159,914,441,0,195,1469,1104,5492,1508,556,607,4936,1461
"Calhoun County, Alabama",114611,*****,84357,912,24160,556,803,960,1064,279,0,195,2129,1066,2098,667,119,171,1979,670
"Cullman County, Alabama",82471,*****,79032,558,1052,214,633,501,763,515,0,195,537,550,454,353,105,131,349,301
"DeKalb County, Alabama",70900,*****,62139,2579,1087,188,862,583,74,97,87,140,5095,2524,1556,658,72,141,1484,622
"Etowah County, Alabama",102564,*****,83159,1034,16417,1202,484,365,858,142,0,195,107,181,1539,825,0,195,1539,825
"Houston County, Alabama",104056,*****,71838,615,27762,382,443,219,1054,89,0,195,1031,637,1928,428,102,98,1826,412
"Jefferson County, Alabama",659521,*****,340506,2219,279979,3855,1799,942,8366,1352,323,328,14127,3157,14421,3522,1420,929,13001,3436
"Lauderdale County, Alabama",92318,*****,80596,83,9513,817,132,164,720,103,60,108,119,112,1178,752,0,195,1178,752
"Lee County, Alabama",158991,*****,111185,1161,37968,1543,0,195,6648,450,63,111,828,746,2299,1211,260,318,2039,1126
"Limestone County, Alabama",92753,*****,76272,401,14066,789,599,560,364,471,0,195,214,207,1238,647,0,195,1238,647
"Madison County, Alabama",356967,*****,243688,1765,87415,1475,2547,858,8383,1391,250,82,4835,1675,9849,2061,311,278,9538,2058
"Marshall County, Alabama",95157,*****,89605,618,2764,124,369,254,746,55,0,195,541,537,1132,371,161,217,971,295
"Mobile County, Alabama",414836,*****,243284,1591,148001,1565,3328,797,8269,659,20,33,4702,1925,7232,1697,395,441,6837,1682
"Montgomery County, Alabama",226349,*****,81740,1190,130006,1761,339,201,5753,1271,36,64,3774,1341,4701,2145,142,190,4559,2177
