,Geography,Total; Estimate; All households,Mean income (dollars); Estimate; All households,Total; Estimate; All households - With earnings,Mean income (dollars); Estimate; All households - With earnings,"Total; Estimate; All households - With interest, dividends, or net rental income","Mean income (dollars); Estimate; All households - With interest, dividends, or net rental income",Total; Estimate; All households - With Social Security income,Mean income (dollars); Estimate; All households - With Social Security income,Total; Estimate; All households - With Supplemental Security Income (SSI),Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI),Total; Estimate; All households - With cash public assistance income,Mean income (dollars); Estimate; All households - With cash public assistance income,Total; Estimate; All households - With retirement income,Mean income (dollars); Estimate; All households - With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino",Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Individual income in the past 12 months
1,"Baldwin County, Alabama",76779,74892,70.2,77076,21.1,16211,39.8,19932,5.5,10300,0.6,1390,26.3,29136,49943,93516,22.6,57819,31.6,80909,32.4,123225,5.8,91172,5.9,131709,1.7,111494,208563,29977,86.5,31953,9.0,14788,0.7,N,0.4,47256,0.0,N,0.7,25513,2.6,19343,4.4,12836,83.0,32881,36.3,38.6,30.5
2,"Calhoun County, Alabama",43972,58992,69.4,59439,13.1,16573,40.5,17017,6.4,9468,1.7,3602,24.4,27767,30403,68916,23.2,36288,35.8,71592,24.3,84194,9.4,76751,5.3,104862,1.9,81341,114611,23818,73.6,25648,21.1,18491,0.7,9010,0.9,N,0.0,N,1.9,10301,1.8,9553,3.6,10562,72.6,25790,35.4,35.6,26.3
3,"Cullman County, Alabama",30299,54412,64.6,60721,14.8,13435,40.6,19030,5.1,12011,1.5,2710,22.1,18432,21551,63914,25.1,32551,32.7,56651,25.6,80044,8.1,94368,6.2,110415,2.5,95375,82471,21237,95.8,21514,1.3,14595,0.8,21132,0.9,11459,0.0,N,0.7,11930,0.6,15983,4.3,9118,92.3,21998,34.5,33.1,28.3
4,"DeKalb County, Alabama",25383,48529,68.4,50842,12.4,15536,39.5,16616,7.4,8283,2.1,1145,18.9,20051,18834,54066,21.8,32594,37.5,46865,25.2,67011,6.8,45866,7.4,113451,1.3,76655,70900,19215,87.6,20234,1.5,10943,1.2,11656,0.1,N,0.1,N,7.2,9226,2.2,22212,14.3,8923,80.7,21223,38.2,40.1,30.0
5,"Elmore County, Alabama",29350,71553,73.0,74781,17.0,9254,32.6,19990,6.5,8602,1.7,1859,26.0,26366,21413,82014,20.9,39824,30.4,63349,31.3,110777,8.4,78199,7.5,160846,1.4,74830,81799,26230,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1.0,N,73.4,29463,34.1,35.0,27.2
6,"Etowah County, Alabama",38766,55243,66.4,59322,15.4,11250,43.0,18357,7.4,7971,0.7,N,23.8,19460,26348,65211,22.8,37890,38.8,55891,24.7,96336,6.7,49415,5.6,116441,1.4,93046,102564,22117,81.1,23929,16.0,14934,0.5,N,0.8,16865,0.0,N,0.1,N,1.5,10532,3.8,10401,78.0,24446,39.7,39.5,31.9
7,"Houston County, Alabama",39167,59912,71.2,61384,15.8,15627,36.2,18375,8.1,8964,1.2,2456,21.9,22608,25102,71527,20.9,43772,37.8,62067,27.9,98685,7.3,67435,4.6,110782,1.5,89553,104056,24013,69.0,27621,26.7,15541,0.4,15959,1.0,42098,0.0,N,1.0,15107,1.9,8298,3.2,12149,66.9,28122,41.1,40.5,32.9
8,"Jefferson County, Alabama",261904,74945,76.2,76651,17.8,23569,32.2,17802,7.1,9267,1.7,2398,19.2,23428,164604,93096,14.8,46140,36.5,81380,28.2,126873,10.5,84774,7.0,131319,3.1,89323,659521,30674,51.6,40498,42.5,20371,0.3,23342,1.3,36443,0.0,N,2.1,12854,2.2,13861,3.7,15923,50.1,41112,38.9,41.6,31.6
9,"Lauderdale County, Alabama",37875,58691,71.2,58672,20.0,6553,39.0,19563,6.0,9210,1.2,N,26.1,22960,23256,74114,17.8,45308,40.1,63355,26.6,102043,6.6,69476,7.6,96345,1.4,120982,92318,24592,87.3,25188,10.3,18155,0.1,N,0.8,N,0.1,N,0.1,N,1.3,N,2.6,5780,84.8,25765,45.2,42.5,34.2
10,"Lee County, Alabama",59354,64562,78.8,65224,15.2,13529,28.0,16598,3.9,11071,1.3,N,16.0,26553,35925,84597,13.4,44654,23.3,76938,40.1,104743,14.3,60131,7.6,119419,1.3,75099,158991,25081,69.9,27136,23.9,20023,0.0,N,4.2,24815,0.0,N,0.5,N,1.4,15394,3.8,19065,67.3,27432,37.7,38.3,31.9
11,"Limestone County, Alabama",31880,69299,71.1,74948,17.4,7566,30.9,19123,6.0,10385,2.1,1982,27.6,24035,21941,82344,19.5,40362,31.9,63380,34.8,114116,5.3,77025,6.5,142803,2.0,60685,92753,25662,82.2,27431,15.2,16774,0.6,N,0.4,N,0.0,N,0.2,N,1.3,11030,N,N,N,N,30.6,30.1,25.5
12,"Madison County, Alabama",143669,85057,79.2,83643,20.8,21833,27.7,18411,4.8,10124,2.5,2943,22.3,31440,89167,104130,13.8,55751,34.9,88062,34.0,138502,8.3,76201,6.7,145069,2.2,113674,356967,35192,68.3,38910,24.5,24863,0.7,27499,2.3,63796,0.1,43699,1.4,10706,2.8,24338,4.8,19057,65.0,39747,29.1,29.5,23.7
