,Geography,Estimate; Total
1,"Baldwin County, Alabama",208563
2,"Calhoun County, Alabama",114611
3,"Cullman County, Alabama",82471
4,"DeKalb County, Alabama",70900
5,"Elmore County, Alabama",81799
6,"Etowah County, Alabama",102564
7,"Houston County, Alabama",104056
8,"Jefferson County, Alabama",659521
9,"Lauderdale County, Alabama",92318
10,"Lee County, Alabama",158991
11,"Limestone County, Alabama",92753
12,"Madison County, Alabama",356967
13,"Marshall County, Alabama",95157
14,"Mobile County, Alabama",414836
15,"Montgomery County, Alabama",226349
16,"Morgan County, Alabama",119012
17,"St. Clair County, Alabama",88019
18,"Shelby County, Alabama",210622
19,"Talladega County, Alabama",80103
20,"Tuscaloosa County, Alabama",206102
21,"Walker County, Alabama",64967
22,"Anchorage Municipality, Alaska",298192
23,"Fairbanks North Star Borough, Alaska",100605
24,"Matanuska-Susitna Borough, Alaska",104365
25,"Apache County, Arizona",73112
26,"Cochise County, Arizona",125770
27,"Coconino County, Arizona",140908
28,"Maricopa County, Arizona",4242997
29,"Mohave County, Arizona",205249
30,"Navajo County, Arizona",110026
31,"Pima County, Arizona",1016206
32,"Pinal County, Arizona",418540
33,"Yavapai County, Arizona",225562
34,"Yuma County, Arizona",205631
35,"Benton County, Arkansas",258291
36,"Craighead County, Arkansas",105835
37,"Faulkner County, Arkansas",122227
38,"Garland County, Arkansas",97477
39,"Jefferson County, Arkansas",70016
40,"Lonoke County, Arkansas",72228
41,"Pulaski County, Arkansas",393250
42,"Saline County, Arkansas",118703
43,"Sebastian County, Arkansas",127793
44,"Washington County, Arkansas",228049
45,"White County, Arkansas",79263
46,"Alameda County, California",1647704
47,"Butte County, California",226864
48,"Contra Costa County, California",1135127
49,"El Dorado County, California",185625
50,"Fresno County, California",979915
51,"Humboldt County, California",136646
52,"Imperial County, California",180883
53,"Kern County, California",884788
54,"Kings County, California",149785
55,"Lake County, California",64116
56,"Los Angeles County, California",10137915
57,"Madera County, California",154697
58,"Marin County, California",260651
59,"Mendocino County, California",87628
60,"Merced County, California",268672
61,"Monterey County, California",435232
62,"Napa County, California",142166
63,"Nevada County, California",99107
64,"Orange County, California",3172532
65,"Placer County, California",380531
66,"Riverside County, California",2387741
67,"Sacramento County, California",1514460
68,"San Bernardino County, California",2140096
69,"San Diego County, California",3317749
70,"San Francisco County, California",870887
71,"San Joaquin County, California",733709
72,"San Luis Obispo County, California",282887
73,"San Mateo County, California",764797
74,"Santa Barbara County, California",446170
75,"Santa Clara County, California",1919402
76,"Santa Cruz County, California",274673
77,"Shasta County, California",179631
78,"Solano County, California",440207
79,"Sonoma County, California",503070
80,"Stanislaus County, California",541560
81,"Sutter County, California",96651
82,"Tulare County, California",460437
83,"Ventura County, California",849738
84,"Yolo County, California",215802
85,"Yuba County, California",75275
86,"Adams County, Colorado",498187
87,"Arapahoe County, Colorado",637068
88,"Boulder County, Colorado",322226
89,"Broomfield County, Colorado",66529
90,"Denver County, Colorado",693060
91,"Douglas County, Colorado",328632
92,"El Paso County, Colorado",688284
93,"Jefferson County, Colorado",571837
94,"Larimer County, Colorado",339993
95,"Mesa County, Colorado",150083
96,"Pueblo County, Colorado",165123
97,"Weld County, Colorado",294932
98,"Fairfield County, Connecticut",944177
99,"Hartford County, Connecticut",892389
100,"Litchfield County, Connecticut",182571
101,"Middlesex County, Connecticut",163329
102,"New Haven County, Connecticut",856875
103,"New London County, Connecticut",269801
104,"Tolland County, Connecticut",151118
105,"Windham County, Connecticut",116192
106,"Kent County, Delaware",174827
107,"New Castle County, Delaware",556987
108,"Sussex County, Delaware",220251
109,"District of Columbia, District of Columbia",681170
110,"Alachua County, Florida",263496
111,"Bay County, Florida",183974
112,"Brevard County, Florida",579130
113,"Broward County, Florida",1909632
114,"Charlotte County, Florida",178465
115,"Citrus County, Florida",143621
116,"Clay County, Florida",208311
117,"Collier County, Florida",365136
118,"Columbia County, Florida",69299
119,"Duval County, Florida",926255
120,"Escambia County, Florida",315187
121,"Flagler County, Florida",108310
122,"Hernando County, Florida",182835
123,"Highlands County, Florida",100917
124,"Hillsborough County, Florida",1376238
125,"Indian River County, Florida",151563
126,"Lake County, Florida",335396
127,"Lee County, Florida",722336
128,"Leon County, Florida",287822
129,"Manatee County, Florida",375888
130,"Marion County, Florida",349020
131,"Martin County, Florida",158701
132,"Miami-Dade County, Florida",2712945
133,"Monroe County, Florida",79077
134,"Nassau County, Florida",80622
135,"Okaloosa County, Florida",201170
136,"Orange County, Florida",1314367
137,"Osceola County, Florida",336015
138,"Palm Beach County, Florida",1443810
139,"Pasco County, Florida",512368
140,"Pinellas County, Florida",960730
141,"Polk County, Florida",666149
142,"Putnam County, Florida",72277
143,"St. Johns County, Florida",235087
144,"St. Lucie County, Florida",306507
145,"Santa Rosa County, Florida",170497
146,"Sarasota County, Florida",412569
147,"Seminole County, Florida",455479
148,"Sumter County, Florida",123996
149,"Volusia County, Florida",529364
150,"Walton County, Florida",65889
151,"Barrow County, Georgia",77126
152,"Bartow County, Georgia",103807
153,"Bibb County, Georgia",152760
154,"Bulloch County, Georgia",74722
155,"Carroll County, Georgia",116261
156,"Catoosa County, Georgia",66398
157,"Chatham County, Georgia",289082
158,"Cherokee County, Georgia",241689
159,"Clarke County, Georgia",124707
160,"Clayton County, Georgia",279462
161,"Cobb County, Georgia",748150
162,"Columbia County, Georgia",147450
163,"Coweta County, Georgia",140526
164,"DeKalb County, Georgia",740321
165,"Dougherty County, Georgia",90017
166,"Douglas County, Georgia",142224
167,"Fayette County, Georgia",111627
168,"Floyd County, Georgia",96560
169,"Forsyth County, Georgia",221009
170,"Fulton County, Georgia",1023336
171,"Glynn County, Georgia",84502
172,"Gwinnett County, Georgia",907135
173,"Hall County, Georgia",196637
174,"Henry County, Georgia",221768
175,"Houston County, Georgia",152122
176,"Liberty County, Georgia",62570
177,"Lowndes County, Georgia",114628
178,"Muscogee County, Georgia",197485
179,"Newton County, Georgia",106999
180,"Paulding County, Georgia",155825
181,"Richmond County, Georgia",201647
182,"Rockdale County, Georgia",89355
183,"Troup County, Georgia",70005
184,"Walker County, Georgia",67896
185,"Walton County, Georgia",90184
186,"Whitfield County, Georgia",104589
187,"Hawaii County, Hawaii",198449
188,"Honolulu County, Hawaii",992605
189,"Kauai County, Hawaii",72029
190,"Maui County, Hawaii",165379
191,"Ada County, Idaho",444028
192,"Bannock County, Idaho",84377
193,"Bonneville County, Idaho",112232
194,"Canyon County, Idaho",211698
195,"Kootenai County, Idaho",154311
196,"Twin Falls County, Idaho",83514
197,"Adams County, Illinois",66578
198,"Champaign County, Illinois",208419
199,"Cook County, Illinois",5203499
200,"DeKalb County, Illinois",104528
201,"DuPage County, Illinois",929368
202,"Kane County, Illinois",531715
203,"Kankakee County, Illinois",110008
204,"Kendall County, Illinois",124695
205,"Lake County, Illinois",703047
206,"LaSalle County, Illinois",110642
207,"McHenry County, Illinois",307004
208,"McLean County, Illinois",172418
209,"Macon County, Illinois",106550
210,"Madison County, Illinois",265759
211,"Peoria County, Illinois",185006
212,"Rock Island County, Illinois",144784
213,"St. Clair County, Illinois",262759
214,"Sangamon County, Illinois",197499
215,"Tazewell County, Illinois",134385
216,"Vermilion County, Illinois",78111
217,"Will County, Illinois",689529
218,"Williamson County, Illinois",67560
219,"Winnebago County, Illinois",285873
220,"Allen County, Indiana",370404
221,"Bartholomew County, Indiana",81402
222,"Clark County, Indiana",116031
223,"Delaware County, Indiana",115603
224,"Elkhart County, Indiana",203781
225,"Floyd County, Indiana",76990
226,"Grant County, Indiana",66937
227,"Hamilton County, Indiana",316373
228,"Hancock County, Indiana",73717
229,"Hendricks County, Indiana",160610
