Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Baldwin County, Alabama",208563,180484,18821,1383,914,0,1469,5492,556,4936
"Calhoun County, Alabama",114611,84357,24160,803,1064,0,2129,2098,119,1979
"Cullman County, Alabama",82471,79032,1052,633,763,0,537,454,105,349
"DeKalb County, Alabama",70900,62139,1087,862,74,87,5095,1556,72,1484
"Etowah County, Alabama",102564,83159,16417,484,858,0,107,1539,0,1539
"Houston County, Alabama",104056,71838,27762,443,1054,0,1031,1928,102,1826
"Jefferson County, Alabama",659521,340506,279979,1799,8366,323,14127,14421,1420,13001
"Lauderdale County, Alabama",92318,80596,9513,132,720,60,119,1178,0,1178
"Lee County, Alabama",158991,111185,37968,0,6648,63,828,2299,260,2039
"Limestone County, Alabama",92753,76272,14066,599,364,0,214,1238,0,1238
"Madison County, Alabama",356967,243688,87415,2547,8383,250,4835,9849,311,9538
"Marshall County, Alabama",95157,89605,2764,369,746,0,541,1132,161,971
"Mobile County, Alabama",414836,243284,148001,3328,8269,20,4702,7232,395,6837
"Montgomery County, Alabama",226349,81740,130006,339,5753,36,3774,4701,142,4559
"Morgan County, Alabama",119012,93591,14431,763,1076,0,6454,2697,88,2609
"Shelby County, Alabama",210622,168484,24066,211,4535,197,8566,4563,232,4331
"Talladega County, Alabama",80103,51823,26589,70,548,23,626,424,0,424
"Tuscaloosa County, Alabama",206102,132006,66183,34,3413,0,2851,1615,105,1510
"Anchorage Municipality, Alaska",298192,184841,16102,23916,27142,7669,7935,30587,1142,29445
"Fairbanks North Star Borough, Alaska",100605,75501,4385,7427,3875,503,2357,6557,207,6350
"Matanuska-Susitna Borough, Alaska",104365,86314,1019,5455,1083,141,325,10028,490,9538
"Apache County, Arizona",73112,16162,112,53520,106,54,694,2464,279,2185
"Cochise County, Arizona",125770,109899,5077,1875,2783,434,1913,3789,565,3224
"Coconino County, Arizona",140908,91167,2166,37010,2670,163,2711,5021,484,4537
"Maricopa County, Arizona",4242997,3227510,230642,82300,168720,9808,371556,152461,32753,119708
"Mohave County, Arizona",205249,187492,1614,4870,2029,231,3539,5474,387,5087
"Navajo County, Arizona",110026,50543,755,49003,897,0,4536,4292,297,3995
"Pima County, Arizona",1016206,774608,34344,32670,28713,1550,94614,49707,9993,39714
"Pinal County, Arizona",418540,337571,18679,21796,8568,1357,17937,12632,1240,11392
"Yavapai County, Arizona",225562,209960,1130,3491,2368,207,4025,4381,241,4140
"Yuma County, Arizona",205631,112651,3696,2926,2719,266,78192,5181,628,4553
"Benton County, Arkansas",258291,228649,3896,2656,9343,1350,3509,8888,940,7948
"Craighead County, Arkansas",105835,84134,15243,0,1394,0,2450,2614,330,2284
"Faulkner County, Arkansas",122227,100295,12771,277,1404,739,2809,3932,479,3453
"Garland County, Arkansas",97477,84195,8471,989,1046,0,1347,1429,86,1343
"Jefferson County, Arkansas",70016,28485,40177,46,291,0,435,582,0,582
"Lonoke County, Arkansas",72228,63910,3884,292,1032,0,1309,1801,53,1748
"Pulaski County, Arkansas",393250,218346,142430,799,8604,33,9119,13919,4224,9695
