Geography,Estimate; Total:,Margin of Error; Total:,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Baldwin County, Alabama",208563,*****,607,4936,1461
"Calhoun County, Alabama",114611,*****,171,1979,670
"Cullman County, Alabama",82471,*****,131,349,301
"DeKalb County, Alabama",70900,*****,141,1484,622
"Etowah County, Alabama",102564,*****,195,1539,825
"Houston County, Alabama",104056,*****,98,1826,412
"Jefferson County, Alabama",659521,*****,929,13001,3436
"Lauderdale County, Alabama",92318,*****,195,1178,752
"Lee County, Alabama",158991,*****,318,2039,1126
"Limestone County, Alabama",92753,*****,195,1238,647
"Madison County, Alabama",356967,*****,278,9538,2058
"Marshall County, Alabama",95157,*****,217,971,295
"Mobile County, Alabama",414836,*****,441,6837,1682
"Montgomery County, Alabama",226349,*****,190,4559,2177
"Morgan County, Alabama",119012,*****,208,2609,1224
"Shelby County, Alabama",210622,*****,369,4331,1343
"Talladega County, Alabama",80103,*****,195,424,267
"Tuscaloosa County, Alabama",206102,*****,155,1510,861
"Anchorage Municipality, Alaska",298192,*****,938,29445,3905
"Fairbanks North Star Borough, Alaska",100605,*****,245,6350,1738
"Matanuska-Susitna Borough, Alaska",104365,*****,494,9538,1551
"Apache County, Arizona",73112,*****,216,2185,1035
"Cochise County, Arizona",125770,*****,312,3224,1197
"Coconino County, Arizona",140908,*****,404,4537,1425
"Maricopa County, Arizona",4242997,*****,6303,119708,8121
"Mohave County, Arizona",205249,*****,339,5087,1566
"Navajo County, Arizona",110026,*****,306,3995,1252
"Pima County, Arizona",1016206,*****,2635,39714,5660
"Pinal County, Arizona",418540,*****,767,11392,2478
"Yavapai County, Arizona",225562,*****,233,4140,972
"Yuma County, Arizona",205631,*****,434,4553,1517
"Benton County, Arkansas",258291,*****,421,7948,1439
"Craighead County, Arkansas",105835,*****,388,2284,1120
"Faulkner County, Arkansas",122227,*****,751,3453,961
"Garland County, Arkansas",97477,*****,167,1343,846
"Jefferson County, Arkansas",70016,*****,197,582,446
"Lonoke County, Arkansas",72228,*****,78,1748,756
"Pulaski County, Arkansas",393250,*****,2655,9695,2434
"Saline County, Arkansas",118703,*****,197,1556,780
"Sebastian County, Arkansas",127793,*****,431,4093,1117
"Washington County, Arkansas",228049,*****,738,6046,1416
"Alameda County, California",1647704,*****,3744,83992,5550
"Butte County, California",226864,*****,899,10065,1723
"Contra Costa County, California",1135127,*****,2856,71005,7590
"El Dorado County, California",185625,*****,603,5038,1634
"Fresno County, California",979915,*****,2120,27126,4569
"Humboldt County, California",136646,*****,901,9404,1716
"Imperial County, California",180883,*****,1012,4608,1985
"Kern County, California",884788,*****,2060,23799,3788
"Kings County, California",149785,*****,869,4964,1681
"Lake County, California",64116,*****,304,1968,949
"Los Angeles County, California",10137915,*****,6207,286703,11179
"Madera County, California",154697,*****,1001,4671,1415
"Marin County, California",260651,*****,1198,11755,1837
"Mendocino County, California",87628,*****,441,5072,1401
"Merced County, California",268672,*****,2026,4382,1609
"Monterey County, California",435232,*****,1322,15385,2068
"Napa County, California",142166,*****,759,4054,926
"Nevada County, California",99107,*****,233,3353,559
"Orange County, California",3172532,*****,2979,97378,7205
"Placer County, California",380531,*****,784,18684,2861
