Geography,Percent; Estimate; Population 18 to 24 years - Less than high school graduate,Percent Females; Estimate; Population 18 to 24 years - Less than high school graduate,Percent Females; Estimate; Population 18 to 24 years - Some college or associate's degree,Percent; Estimate; Population 18 to 24 years - Bachelor's degree or higher,Percent Females; Estimate; Population 25 years and over - Less than 9th grade,"Percent Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Percent Females; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent Males; Estimate; Population 25 years and over - Bachelor's degree,Percent Females; Estimate; Percent high school graduate or higher,Percent Males; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Population 25 to 34 years - High school graduate or higher,Percent Males; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Percent Females; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Percent Females; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Percent Females; Estimate; Population 65 years and over - High school graduate or higher,Percent Males; Estimate; Population 65 years and over - Bachelor's degree or higher,Percent Females; Estimate; Population 65 years and over - Bachelor's degree or higher,"Percent Females; Estimate; White alone, not Hispanic or Latino - High school graduate or higher","Percent Males; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher","Percent Females; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher",Percent Males; Estimate; Black alone - High school graduate or higher,Percent Males; Estimate; Asian alone - Bachelor's degree or higher,Percent Females; Estimate; Asian alone - Bachelor's degree or higher,Percent Males; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,Percent Males; Estimate; Some other race alone - High school graduate or higher,Percent Males; Estimate; Some other race alone - Bachelor's degree or higher,Percent; Estimate; Two or more races - Bachelor's degree or higher,Percent Males; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher,Percent Females; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher,Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Percent Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Total; Estimate; All households - With earnings,Total; Estimate; All households - With Social Security income,Total; Estimate; All households - With cash public assistance income,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,"Total; Estimate; White alone, not Hispanic or Latino",Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months
"Baldwin County, Alabama",20.8,19.5,49.5,7.7,2.8,5.0,30.0,20.3,92.2,31.4,28.0,93.6,29.8,32.2,27.1,90.2,39.9,21.6,92.8,34.8,29.4,74.7,N,N,N,N,N,N,3.1,16.3,13.0,6.2,2.5,70.2,39.8,0.6,5.8,1.7,86.5,0.4,2.6,83,36.3,38.6
"Calhoun County, Alabama",12.2,12.9,46.4,9.4,6.0,11.6,32.6,9.8,82.4,15.6,17.3,91.9,15.8,23.2,11.8,77.5,21.0,10.5,83.9,15.1,18.2,78.8,N,N,N,N,N,N,N,N,13.8,5.4,7.4,69.4,40.5,1.7,9.4,1.9,73.6,0.9,1.8,72.6,35.4,35.6
"Cullman County, Alabama",26.4,33.2,27.1,3.3,6.1,11.3,34.9,11.8,82.6,16.0,17.9,80.0,14.8,23.9,18.0,77.2,20.9,16.9,82.6,16.2,18.1,N,N,N,N,N,N,N,N,N,12.0,4.0,5.6,64.6,40.6,1.5,8.1,2.5,95.8,0.9,0.6,92.3,34.5,33.1
"DeKalb County, Alabama",12.9,3.4,53.5,0.4,12.0,12.8,26.5,6.2,75.1,9.6,12.1,86.9,8.5,12.5,12.4,66.9,15.4,9.9,78.3,10.7,12.9,N,N,N,N,N,N,N,N,N,7.5,10.5,6.0,68.4,39.5,2.1,6.8,1.3,87.6,0.1,2.2,80.7,38.2,40.1
"Elmore County, Alabama",13.9,6.4,28.2,4.6,2.5,8.9,28.1,15.1,88.6,23.1,28.7,86.6,18.2,26.6,33.6,83.3,30.6,17.6,87.9,26.0,29.6,75.9,N,N,N,N,N,N,N,N,16.2,5.4,6.6,73.0,32.6,1.7,8.4,1.4,N,N,N,73.4,34.1,35.0
"Etowah County, Alabama",14.4,8.2,60.7,0.8,5.6,15.2,31.3,9.4,79.2,14.5,16.6,83.2,13.2,14.3,18.8,73.5,13.6,13.6,80.2,14.9,16.6,85.1,N,N,N,N,N,N,N,N,11.6,7.7,5.7,66.4,43.0,0.7,6.7,1.4,81.1,0.8,1.5,78,39.7,39.5
"Houston County, Alabama",17.5,17.5,37.0,5.4,4.3,9.8,30.0,13.9,85.9,21.1,19.6,91.9,19.0,22.5,19.7,78.3,24.1,14.1,88.9,25.8,22.6,66.8,47.1,35.4,N,N,N,5.4,6.3,9.5,13.9,10.5,5.8,71.2,36.2,1.2,7.3,1.5,69,1,1.9,66.9,41.1,40.5
"Jefferson County, Alabama",12.3,10.7,52.1,11.3,2.5,7.1,25.3,19.4,90.4,32.0,33.7,92.2,31.7,43.7,33.1,85.7,34.3,22.1,93.1,44.5,42.3,83.9,68.9,63.5,N,46.1,1.1,38.5,9.9,12,13.3,8.1,4.4,76.2,32.2,1.7,10.5,3.1,51.6,1.3,2.2,50.1,38.9,41.6
"Lauderdale County, Alabama",7.3,7.8,63.1,3.5,5.9,7.3,37.8,17.3,86.8,23.3,20.5,95.3,24.5,21.1,21.9,77.9,23.7,13.1,87.6,23.9,21.2,92.2,N,N,N,N,N,N,N,N,5.7,5.9,2.2,71.2,39.0,1.2,6.6,1.4,87.3,0.8,1.3,84.8,45.2,42.5
"Lee County, Alabama",5.4,5.1,46.9,16.8,4.9,5.9,20.6,19.4,89.1,34.9,36.5,89.1,36.4,39.5,34.6,78.4,35.9,28.0,90.0,38.9,36.9,74.4,57.1,62.4,N,N,N,N,N,N,5.8,6.9,4.4,78.8,28.0,1.3,14.3,1.3,69.9,4.2,1.4,67.3,37.7,38.3
